Virus GENBANK accession,Realm,Kingdom,Phylum,Class,Order,Family,Genus,Species
CASDWV010000800,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Niwnhavirus,Niwnhavirus messivicinum
CASDWV010001154,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Niwtovirus,Niwtovirus choradaptatum
CASDWV010001280,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Nohmivirus,Nohmivirus arvicola
CASDWV010001488,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Nohmivirus,Nohmivirus arvihabitans
CASDWV010001198,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Nohmivirus,Nohmivirus messenecus
CASDWV010004364,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Nohmivirus,Nohmivirus radicivivens
CASDWV010001318,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Nohrdovirus,Nohrdovirus chorenecus
CASDWV010002541,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Nohrdovirus,Nohrdovirus chthonocola
BK014073,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Nohrdovirus,Nohrdovirus limihabitans
CASDWV010002775,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Nohrdovirus,Nohrdovirus segetenecus
CASDWV010002381,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Nohrdovirus,Nohrdovirus soladaptatum
CASDWV010001312,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Northevirus,Northevirus chthonadaptatum
CASDWV010002227,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Northevirus,Northevirus limihabitans
CASDWV010004005,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Northevirus,Northevirus limivivens
BK014191,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Oceshuvirus,Oceshuvirus lutenecus
CASDWV010003931,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Oldperovirus,Oldperovirus radicihabitans
BK013626,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Olmsdivirus,Olmsdivirus lutivivens
BK013614,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Omohevirus,Omohevirus peladaptatum
BK014197,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Onohmuvirus,Onohmuvirus pelenecus
BK014172,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Opdykovirus,Opdykovirus pelocola
