Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
PM2539_S23_R1	(1.0, 15.78861156436943)	(2.0, 2.766125787113578)	(3.0, 1.0396137405085388)	(4.0, 0.6339725061268366)	(5.0, 0.46967845003288666)	(6.0, 0.3756349651182124)	(7.0, 0.3233987417833591)	(8.0, 0.27245898011723496)	(9.0, 0.25023028616172355)	('>10', 3.8687981258898185)	('>50', 1.883630424204897)	('>100', 5.586025312271308)	('>500', 3.393049633089463)	('>1k', 10.933494383291672)	('>5k', 7.633899659117957)	('>10k+', 44.78137744080305)
PM2539_S23_R2	(1.0, 19.83832639712209)	(2.0, 2.458026915213748)	(3.0, 0.8946732783279145)	(4.0, 0.5359966372568604)	(5.0, 0.3811483951236592)	(6.0, 0.31920152467186313)	(7.0, 0.27332153074089716)	(8.0, 0.21973978676540096)	(9.0, 0.20528871871021473)	('>10', 3.0299865090059015)	('>50', 1.344966555964029)	('>100', 4.499506431419572)	('>500', 3.3104804657692473)	('>1k', 13.71459119307097)	('>5k', 8.772946383481047)	('>10k+', 40.2017992773566)
PM2577_S13_R1	(1.0, 11.098411855362594)	(2.0, 1.5874067309882987)	(3.0, 0.7812127493146326)	(4.0, 0.49307924981115364)	(5.0, 0.36636445619090596)	(6.0, 0.2899850291164654)	(7.0, 0.25507609945963894)	(8.0, 0.2113077230060023)	(9.0, 0.19185462179097587)	('>10', 2.918691031320064)	('>50', 1.2777154071883807)	('>100', 3.8605224840885994)	('>500', 2.326804677014044)	('>1k', 9.320511419703463)	('>5k', 5.934515665145325)	('>10k+', 59.08654080049938)
PM2577_S13_R2	(1.0, 13.13329078236013)	(2.0, 1.5896329828493019)	(3.0, 0.7419737634909501)	(4.0, 0.4885762982014419)	(5.0, 0.35807249396308394)	(6.0, 0.2889961976372129)	(7.0, 0.24827256918222498)	(8.0, 0.19190250968069772)	(9.0, 0.17702056659858634)	('>10', 2.510296416671784)	('>50', 0.9733188120107616)	('>100', 3.025748212370088)	('>500', 2.283685841969229)	('>1k', 11.275746694750852)	('>5k', 8.729165530224293)	('>10k+', 53.98430032803937)
PM2601_S14_R1	(1.0, 5.660253658277462)	(2.0, 0.8837677226564564)	(3.0, 0.49817812798899364)	(4.0, 0.37487417222360964)	(5.0, 0.3098842149080921)	(6.0, 0.2588396985429657)	(7.0, 0.23459717872566516)	(8.0, 0.19837794422592728)	(9.0, 0.18771217175326396)	('>10', 3.1011940439486296)	('>50', 1.4904926246426977)	('>100', 4.576213043154278)	('>500', 2.957778443568744)	('>1k', 13.036193069423746)	('>5k', 9.143277234453691)	('>10k+', 57.08836665150579)
PM2601_S14_R2	(1.0, 8.1312888594417)	(2.0, 0.9356219317621675)	(3.0, 0.5403729659881011)	(4.0, 0.3880650031043991)	(5.0, 0.3252388612974732)	(6.0, 0.26441755456701477)	(7.0, 0.22998818281614175)	(8.0, 0.2006759338499454)	(9.0, 0.18243459193796435)	('>10', 2.4781629122925652)	('>50', 0.9057646404917136)	('>100', 2.9953722333767154)	('>500', 3.062775319103564)	('>1k', 17.827755040017397)	('>5k', 14.266445453028052)	('>10k+', 47.26562051692513)
PM2616_S22_R1	(1.0, 13.722995600649652)	(2.0, 1.9230140989342461)	(3.0, 0.7438697378172343)	(4.0, 0.4872148945876514)	(5.0, 0.36603019418667293)	(6.0, 0.3054761802347541)	(7.0, 0.25370722270737295)	(8.0, 0.21547855516876102)	(9.0, 0.18486414738337864)	('>10', 3.2521011978641865)	('>50', 1.6112004112226015)	('>100', 4.90149402558574)	('>500', 3.09707809637877)	('>1k', 10.122144973913155)	('>5k', 6.677019705022658)	('>10k+', 52.13631095834319)
PM2616_S22_R2	(1.0, 18.82927919382425)	(2.0, 1.6729059674801154)	(3.0, 0.652505737182681)	(4.0, 0.4182019096706831)	(5.0, 0.31806074112791)	(6.0, 0.2660309603926793)	(7.0, 0.21772125803776074)	(8.0, 0.18269556303486464)	(9.0, 0.173123334023451)	('>10', 2.4758636314907116)	('>50', 1.1577209535859923)	('>100', 3.769186265307693)	('>500', 2.6416015720545634)	('>1k', 12.026908523108947)	('>5k', 7.58752765412525)	('>10k+', 47.61066673555246)
PM2622_S32_R1	(1.0, 7.505113852754378)	(2.0, 1.0992370193535808)	(3.0, 0.4782120413448381)	(4.0, 0.33163888206643394)	(5.0, 0.26443656508623314)	(6.0, 0.21592039749571665)	(7.0, 0.19836181941776887)	(8.0, 0.1779154518594534)	(9.0, 0.16761830993357346)	('>10', 2.6735918848572817)	('>50', 1.3995299084976198)	('>100', 4.353787981844846)	('>500', 2.6792318709514555)	('>1k', 10.343049709612199)	('>5k', 7.221875710129486)	('>10k+', 60.89047859479516)
PM2622_S32_R2	(1.0, 8.97265452463867)	(2.0, 1.095360191159575)	(3.0, 0.4890812012691697)	(4.0, 0.3251341356376947)	(5.0, 0.2600321881547907)	(6.0, 0.20239266107934714)	(7.0, 0.1831332493975977)	(8.0, 0.1620338830664301)	(9.0, 0.14648022074674116)	('>10', 2.236860804783337)	('>50', 1.012572730569191)	('>100', 3.1822003419622353)	('>500', 2.4154480481187757)	('>1k', 13.330159460022953)	('>5k', 10.818733896533773)	('>10k+', 55.1677224628597)
