Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
PM2528_S2_R1	(2.0, 2902.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 4.0)	(19.0, 22.0)	(20.0, 126.0)	(21.0, 346.0)	(22.0, 1087.0)	(23.0, 2731.0)	(24.0, 6206.0)	(25.0, 12554.0)	(26.0, 23085.0)	(27.0, 39481.0)	(28.0, 61606.0)	(29.0, 91741.0)	(30.0, 129221.0)	(31.0, 173932.0)	(32.0, 227065.0)	(33.0, 291281.0)	(34.0, 375134.0)	(35.0, 508381.0)	(36.0, 819970.0)	(37.0, 1698564.0)			
PM2528_S2_R2	(2.0, 2812.0)	(3.0, 0.0)	(4.0, 5.0)	(5.0, 5.0)	(6.0, 15.0)	(7.0, 12.0)	(8.0, 9.0)	(9.0, 21.0)	(10.0, 21.0)	(11.0, 24.0)	(12.0, 28.0)	(13.0, 73.0)	(14.0, 238.0)	(15.0, 727.0)	(16.0, 1458.0)	(17.0, 2635.0)	(18.0, 4603.0)	(19.0, 6993.0)	(20.0, 10422.0)	(21.0, 15415.0)	(22.0, 22224.0)	(23.0, 30895.0)	(24.0, 42544.0)	(25.0, 55890.0)	(26.0, 72503.0)	(27.0, 92015.0)	(28.0, 114519.0)	(29.0, 141033.0)	(30.0, 170558.0)	(31.0, 205489.0)	(32.0, 250097.0)	(33.0, 305273.0)	(34.0, 384135.0)	(35.0, 515304.0)	(36.0, 810391.0)	(37.0, 1207053.0)			
PM2539_S23_R1	(2.0, 6306.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 16.0)	(16.0, 308.0)	(17.0, 2329.0)	(18.0, 14119.0)	(19.0, 58481.0)	(20.0, 139665.0)	(21.0, 193242.0)	(22.0, 209295.0)	(23.0, 203592.0)	(24.0, 206034.0)	(25.0, 204451.0)	(26.0, 212583.0)	(27.0, 219867.0)	(28.0, 242899.0)	(29.0, 263093.0)	(30.0, 297708.0)	(31.0, 335941.0)	(32.0, 402903.0)	(33.0, 467729.0)	(34.0, 595462.0)	(35.0, 797075.0)	(36.0, 1221220.0)	(37.0, 1799192.0)	(38.0, 3158783.0)	(39.0, 11044084.0)	(40.0, 9630230.0)
PM2539_S23_R2	(2.0, 4425.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 1.0)	(13.0, 17.0)	(14.0, 549.0)	(15.0, 11800.0)	(16.0, 97828.0)	(17.0, 304447.0)	(18.0, 508113.0)	(19.0, 561921.0)	(20.0, 492898.0)	(21.0, 367485.0)	(22.0, 268368.0)	(23.0, 198069.0)	(24.0, 167867.0)	(25.0, 150748.0)	(26.0, 150708.0)	(27.0, 156952.0)	(28.0, 176144.0)	(29.0, 192968.0)	(30.0, 221276.0)	(31.0, 260294.0)	(32.0, 329757.0)	(33.0, 406911.0)	(34.0, 533806.0)	(35.0, 737079.0)	(36.0, 1102941.0)	(37.0, 1536573.0)	(38.0, 2637209.0)	(39.0, 8559514.0)	(40.0, 11789939.0)
PM2577_S13_R1	(2.0, 13955.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 4.0)	(16.0, 122.0)	(17.0, 2185.0)	(18.0, 25786.0)	(19.0, 135289.0)	(20.0, 342741.0)	(21.0, 477026.0)	(22.0, 493478.0)	(23.0, 446530.0)	(24.0, 441383.0)	(25.0, 450625.0)	(26.0, 489147.0)	(27.0, 520194.0)	(28.0, 585771.0)	(29.0, 647526.0)	(30.0, 746281.0)	(31.0, 856154.0)	(32.0, 1044501.0)	(33.0, 1242648.0)	(34.0, 1598120.0)	(35.0, 2205758.0)	(36.0, 3416443.0)	(37.0, 5053651.0)	(38.0, 9358169.0)	(39.0, 38966693.0)	(40.0, 31973548.0)
PM2577_S13_R2	(2.0, 10114.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 13.0)	(14.0, 434.0)	(15.0, 6849.0)	(16.0, 52237.0)	(17.0, 176685.0)	(18.0, 377189.0)	(19.0, 595377.0)	(20.0, 765844.0)	(21.0, 738825.0)	(22.0, 596873.0)	(23.0, 468387.0)	(24.0, 431133.0)	(25.0, 409783.0)	(26.0, 424559.0)	(27.0, 449981.0)	(28.0, 509077.0)	(29.0, 549872.0)	(30.0, 617584.0)	(31.0, 704200.0)	(32.0, 850966.0)	(33.0, 1013138.0)	(34.0, 1306712.0)	(35.0, 1818200.0)	(36.0, 2833857.0)	(37.0, 4204707.0)	(38.0, 7984056.0)	(39.0, 33401029.0)	(40.0, 40236048.0)
PM2601_S14_R1	(2.0, 14928.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 7.0)	(16.0, 80.0)	(17.0, 1194.0)	(18.0, 12293.0)	(19.0, 63906.0)	(20.0, 163076.0)	(21.0, 225737.0)	(22.0, 234375.0)	(23.0, 213815.0)	(24.0, 218647.0)	(25.0, 226493.0)	(26.0, 252441.0)	(27.0, 268952.0)	(28.0, 293334.0)	(29.0, 318576.0)	(30.0, 362794.0)	(31.0, 415213.0)	(32.0, 505252.0)	(33.0, 598835.0)	(34.0, 767589.0)	(35.0, 1045319.0)	(36.0, 1607891.0)	(37.0, 2359321.0)	(38.0, 4329858.0)	(39.0, 17173348.0)	(40.0, 12653368.0)
PM2601_S14_R2	(2.0, 13633.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 8.0)	(14.0, 295.0)	(15.0, 5393.0)	(16.0, 39841.0)	(17.0, 124343.0)	(18.0, 233079.0)	(19.0, 319004.0)	(20.0, 369622.0)	(21.0, 344048.0)	(22.0, 288961.0)	(23.0, 234371.0)	(24.0, 211732.0)	(25.0, 196804.0)	(26.0, 200165.0)	(27.0, 207702.0)	(28.0, 234402.0)	(29.0, 248797.0)	(30.0, 278656.0)	(31.0, 313567.0)	(32.0, 377166.0)	(33.0, 446981.0)	(34.0, 571959.0)	(35.0, 792939.0)	(36.0, 1243827.0)	(37.0, 1854937.0)	(38.0, 3562168.0)	(39.0, 15121355.0)	(40.0, 16490887.0)
PM2616_S22_R1	(2.0, 1856.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 21.0)	(16.0, 476.0)	(17.0, 2847.0)	(18.0, 11917.0)	(19.0, 41620.0)	(20.0, 99988.0)	(21.0, 142747.0)	(22.0, 152682.0)	(23.0, 141536.0)	(24.0, 135983.0)	(25.0, 130094.0)	(26.0, 135423.0)	(27.0, 141584.0)	(28.0, 161382.0)	(29.0, 178242.0)	(30.0, 202474.0)	(31.0, 224538.0)	(32.0, 266691.0)	(33.0, 316296.0)	(34.0, 408697.0)	(35.0, 560043.0)	(36.0, 868122.0)	(37.0, 1280505.0)	(38.0, 2295739.0)	(39.0, 8736642.0)	(40.0, 7172690.0)
PM2616_S22_R2	(2.0, 1127.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 13.0)	(14.0, 540.0)	(15.0, 11618.0)	(16.0, 101837.0)	(17.0, 320704.0)	(18.0, 522303.0)	(19.0, 531888.0)	(20.0, 414358.0)	(21.0, 283733.0)	(22.0, 203416.0)	(23.0, 150366.0)	(24.0, 127785.0)	(25.0, 115524.0)	(26.0, 115771.0)	(27.0, 120840.0)	(28.0, 134357.0)	(29.0, 144183.0)	(30.0, 164998.0)	(31.0, 192875.0)	(32.0, 246756.0)	(33.0, 308071.0)	(34.0, 416339.0)	(35.0, 597408.0)	(36.0, 921810.0)	(37.0, 1306795.0)	(38.0, 2255165.0)	(39.0, 6627093.0)	(40.0, 7473162.0)
