Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
PM2497_S12_R1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 1.4067379842185569e-05)	(4, 3.751301291249485e-05)	(5, 3.751301291249485e-05)	(6, 3.985757621952578e-05)	(7, 3.985757621952578e-05)	(8, 3.985757621952578e-05)	(9, 3.985757621952578e-05)	(10, 5.978636432928866e-05)	(12, 7.268146251795878e-05)	(14, 8.909340566717528e-05)	(16, 9.847165889529898e-05)	(18, 0.00011488360204451548)	(20, 0.00013832923511482477)	(22, 0.00017701452968083508)	(24, 0.0001992878810976289)	(26, 0.0002532128371593402)	(28, 0.0003059655115675361)	(30, 0.00038919750896713404)	(32, 0.00048649688620891756)	(34, 0.0006494440360475671)	(36, 0.0008205971574608248)	(38, 0.001045675234935794)	(40, 0.0014254944906748044)	(42, 0.0018510327309009178)	(44, 0.0022789155344340624)	(46, 0.002814648250090629)	(48, 0.0036000769579459897)	(50, 0.004842695510672382)	(52, 0.006572983231261207)	(54, 0.008252862840748866)	(56, 0.010035903235745887)	(58, 0.012535207721040857)	(60, 0.016036813020091547)	(62, 0.020378944264712824)	(64, 0.02536817498207464)	(66, 0.03111938877422151)	(68, 0.03768651059721514)	(70, 0.045422397228763685)	(72, 0.054004671214150396)	(74, 0.06416600858682243)	(76, 0.07427342100343277)	(78, 0.08313938714897022)	(80, 0.09090223625854962)	(82, 0.09767919649752252)	(84, 0.10508684426608675)	(86, 0.10901750465032409)	(88, 0.11008897008163722)	(90, 0.11008897008163722)
PM2497_S12_R1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.018074238533901422)	(4, 0.021546536791614227)	(5, 0.022798533597568744)	(6, 0.02309394857425464)	(7, 0.02356989492558192)	(8, 0.024268574791077135)	(9, 0.02609733417056126)	(10, 0.027909681606896167)	(12, 0.029404340715128385)	(14, 0.031006849735484024)	(16, 0.034039542373128534)	(18, 0.03743564232336283)	(20, 0.04245300780040901)	(22, 0.04879270698262064)	(24, 0.05359320035376647)	(26, 0.05994579463416677)	(28, 0.06556922972608045)	(30, 0.07762497425083348)	(32, 0.08573130188489292)	(34, 0.09061151040847779)	(36, 0.09489737213373033)	(38, 0.0987459728022216)	(40, 0.10102840518161621)	(42, 0.10351715913202954)	(44, 0.10743492441807821)	(46, 0.13149131622986907)	(48, 0.1360514918620442)	(50, 0.14148150048112784)	(52, 0.14866055332725653)	(54, 0.15604241089944343)	(56, 0.16406667881775677)	(58, 0.17038879377516566)	(60, 0.17655733983596403)	(62, 0.1821561570131539)	(64, 0.18828601777938625)	(66, 0.19669127723509214)	(68, 0.2062406835846291)	(70, 0.21919908498258905)	(72, 0.23292533086360162)	(74, 0.2443328036339606)	(76, 0.26637873240997245)	(78, 0.29418877007631977)	(80, 0.3419791762451847)	(82, 0.3725229747275301)	(84, 0.4012931110681066)	(86, 0.41156347063455556)	(88, 0.4186698420181663)	(90, 0.42434720206614174)
PM2497_S12_R2 - illumina_universal_adapter	(1, 5.392495606171135e-05)	(2, 7.033689921092784e-05)	(3, 0.0005345604340030516)	(4, 0.0008721775502155052)	(5, 0.0008979677465928454)	(6, 0.000982372025645959)	(7, 0.0009987839687951754)	(8, 0.0010433306716287629)	(9, 0.0010996001909975052)	(10, 0.0017162203407466393)	(12, 0.0020573543019196394)	(14, 0.002780652082138681)	(16, 0.003541462875270217)	(18, 0.0040654727743916295)	(20, 0.0046703701076056085)	(22, 0.005590611205615248)	(24, 0.006622219060708857)	(26, 0.008156735745160598)	(28, 0.01039696598502865)	(30, 0.01363480791203836)	(32, 0.016874994402355105)	(34, 0.022392924145452395)	(36, 0.02719810664321228)	(38, 0.034652645677917114)	(40, 0.046124593939219444)	(42, 0.060424085548801076)	(44, 0.07488535202656785)	(46, 0.09182716648317332)	(48, 0.11671939511392068)	(50, 0.15566493620701144)	(52, 0.20510357038071908)	(54, 0.2556347710555032)	(56, 0.31094184718670925)	(58, 0.37954845867704823)	(60, 0.4708856114290521)	(62, 0.5831679204844168)	(64, 0.7057346564860727)	(66, 0.8525383156741606)	(68, 1.019976476527428)	(70, 1.2000940357451184)	(72, 1.358872552023867)	(74, 1.5959207974628824)	(76, 1.7690890710385334)	(78, 1.840413031401721)	(80, 1.8609947803924922)	(82, 1.8691726172074161)	(84, 1.875110223782472)	(86, 1.8783105526965689)	(88, 1.8790643297997796)	(90, 1.8790643297997796)
PM2497_S12_R2 - polya	(1, 0.0022038895086090725)	(2, 0.0031393702681144125)	(3, 0.0046703701076056085)	(4, 0.006832057476688125)	(5, 0.00929853807568466)	(6, 0.011289072323353919)	(7, 0.013000603537486496)	(8, 0.01558665686514161)	(9, 0.018172710192796725)	(10, 0.021838434923339582)	(12, 0.02730947340029625)	(14, 0.03260584191087912)	(16, 0.038056951599726024)	(18, 0.0437108660146311)	(20, 0.048603969636404655)	(22, 0.05406680214178672)	(24, 0.0597664355411789)	(26, 0.06539455975970665)	(28, 0.07050570776903407)	(30, 0.07513739258207366)	(32, 0.07975618229692459)	(34, 0.0842131971435904)	(36, 0.08881205807033155)	(38, 0.09399588754217694)	(40, 0.09965449108369609)	(42, 0.1041138504936689)	(44, 0.10876546409481827)	(46, 0.11326702564431765)	(48, 0.1174848950336663)	(50, 0.12144017333262747)	(52, 0.12500508184096798)	(54, 0.12869425220458114)	(56, 0.13246079315732634)	(58, 0.13603273535558796)	(60, 0.13999035821785616)	(62, 0.14354588847296856)	(64, 0.14716003281075674)	(66, 0.15147285701404012)	(68, 0.15624990475211564)	(70, 0.16001644570486084)	(72, 0.16351922328556506)	(74, 0.16702082858461575)	(76, 0.17028797755296332)	(78, 0.173900949609098)	(80, 0.17768624706829944)	(82, 0.18113041056632784)	(84, 0.1841408298525556)	(86, 0.18777021385183945)	(88, 0.1909869547090859)	(90, 0.191717286179226)
PM2497_S12_R2 - polyg	(1, 2.0864362651800508)	(2, 2.5047321493507457)	(3, 2.5570815588701326)	(4, 2.5646685657316843)	(5, 2.571521724278136)	(6, 2.580011388012895)	(7, 2.5940037418292556)	(8, 2.6076444111495616)	(9, 2.6250973404070996)	(10, 2.6464340387827345)	(12, 2.6709077628631768)	(14, 2.6903148856371253)	(16, 2.70911711107786)	(18, 2.72844803554433)	(20, 2.7385355191728307)	(22, 2.7466383299619297)	(24, 2.757197070815143)	(26, 2.7683044394822023)	(28, 2.773814163253725)	(30, 2.782506631714542)	(32, 2.794511968128194)	(34, 2.806119901061304)	(36, 2.813683462289786)	(38, 2.8220359690710834)	(40, 2.829771855702632)	(42, 2.8346473750996033)	(44, 2.8455284934075333)	(46, 2.849710022065623)	(48, 2.85387396649891)	(50, 2.8587670701206838)	(52, 2.8660047370494883)	(54, 2.8725824094073635)	(56, 2.877498958662207)	(58, 2.881916115932653)	(60, 2.8872206904148108)	(62, 2.892597946359486)	(64, 2.895570852632802)	(66, 2.898234276549589)	(68, 2.9016045863034456)	(70, 2.9066031952740357)	(72, 2.9138197611330767)	(74, 2.917948537116758)	(76, 2.9205779648655934)	(78, 2.9233715120459207)	(80, 2.927467464143304)	(82, 2.9363861829632496)	(84, 2.9405841235644883)	(86, 2.9448465396566705)	(88, 2.9481148609066716)	(90, 2.950262480895912)
PM2524_S24_R1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.05327169882775567)	(4, 0.05934956977142695)	(5, 0.06108939197264447)	(6, 0.06146221101576251)	(7, 0.06170385298815383)	(8, 0.06199842605925945)	(9, 0.06238505321508556)	(10, 0.06298915814606387)	(12, 0.06356679752768504)	(14, 0.06400175307798942)	(16, 0.06448158499459505)	(18, 0.06487051350253917)	(20, 0.06536070150367586)	(22, 0.0659889706318933)	(24, 0.06643428226672873)	(26, 0.06692562094392443)	(28, 0.067395096775999)	(30, 0.06808665308746178)	(32, 0.06866774449725996)	(34, 0.069221219681642)	(36, 0.0697344212039588)	(38, 0.07020389703603339)	(40, 0.07058707216368248)	(42, 0.07104504123516697)	(44, 0.07162152994072914)	(46, 0.07253746808369815)	(48, 0.07306562839478203)	(50, 0.073787102283779)	(52, 0.07472490327186912)	(54, 0.07562933465424809)	(56, 0.07647853358579473)	(58, 0.07717699395361155)	(60, 0.07798131651885695)	(62, 0.07880520057710547)	(64, 0.0821364077679287)	(66, 0.0912854331130878)	(68, 0.10176003727822214)	(70, 0.12376786758277665)	(72, 0.1360490331605509)	(74, 0.13966215598583065)	(76, 0.1438690276575577)	(78, 0.14833710279467915)	(80, 0.15407552430094357)	(82, 0.15740327946358978)	(84, 0.15984156203262415)	(86, 0.16110155231723605)	(88, 0.1619703127417858)	(90, 0.16259512984182622)
PM2524_S24_R2 - illumina_universal_adapter	(1, 9.665678895652921e-05)	(2, 0.0001587932961428694)	(3, 0.00037281904311804124)	(4, 0.000793966480714347)	(5, 0.000863007044254725)	(6, 0.0009941841149814434)	(7, 0.0010448138615777205)	(8, 0.0011023476645280355)	(9, 0.0011759909323044387)	(10, 0.0014924268485311714)	(12, 0.0017582330181616266)	(14, 0.0022139007375281215)	(16, 0.0026212400624163515)	(18, 0.0030366341197176263)	(20, 0.003511863332087228)	(22, 0.0040595851361742265)	(24, 0.004807524574528322)	(26, 0.005782147196506658)	(28, 0.007264217960506773)	(30, 0.009299763908888918)	(32, 0.011878428957122036)	(34, 0.01529248482419373)	(36, 0.019246207762939373)	(38, 0.024741836620753466)	(40, 0.03297147179476652)	(42, 0.0433954462133046)	(44, 0.05427738970332718)	(46, 0.06717071494449277)	(48, 0.0856056960858327)	(50, 0.11255452938776025)	(52, 0.14303939021901416)	(54, 0.1728580096121034)	(56, 0.205109158193932)	(58, 0.24204470901197522)	(60, 0.2879785466114477)	(62, 0.34007195315478095)	(64, 0.3980199994863382)	(66, 0.4685552912273654)	(68, 0.5495640364574679)	(70, 0.644362483578702)	(72, 0.7322166006838329)	(74, 0.8678939654773248)	(76, 0.981708485149697)	(78, 1.0291140374286387)	(80, 1.041779528810121)	(82, 1.0466250256945964)	(84, 1.050215134998696)	(86, 1.0522299687780161)	(88, 1.0526890885255595)	(90, 1.0526890885255595)
PM2524_S24_R2 - polya	(1, 0.005983515506832761)	(2, 0.0075139146653111395)	(3, 0.012880667804516523)	(4, 0.019927407989871106)	(5, 0.026318262821592095)	(6, 0.03168041325656146)	(7, 0.035401699631387826)	(8, 0.040340401276642866)	(9, 0.04568183954255011)	(10, 0.0552324508323024)	(12, 0.07495849051184741)	(14, 0.08920846282658143)	(16, 0.10238025167402653)	(18, 0.11648754015744378)	(20, 0.12986990272368706)	(22, 0.1471944814680859)	(24, 0.16587455660999417)	(26, 0.1823902100849116)	(28, 0.19354716515303672)	(30, 0.20392511252921453)	(32, 0.21511428652699177)	(34, 0.22495256683149564)	(36, 0.23717389725420157)	(38, 0.24995560691764357)	(40, 0.2610285626334612)	(42, 0.2700728764572507)	(44, 0.27908957405562407)	(46, 0.28770928841364024)	(48, 0.29763271874651054)	(50, 0.3073789449662939)	(52, 0.3155291834922356)	(54, 0.32397974846957783)	(56, 0.3337823578162525)	(58, 0.34186930915894875)	(60, 0.35133937312457064)	(62, 0.3589545472830743)	(64, 0.36650068087803767)	(66, 0.3763573719994856)	(68, 0.38698501608046776)	(70, 0.3940375096461174)	(72, 0.40020053061815514)	(74, 0.4074612965504849)	(76, 0.4142951616649233)	(78, 0.4209115490042095)	(80, 0.42763725056910135)	(82, 0.4335022464418565)	(84, 0.4398447728790992)	(86, 0.44783391675677997)	(88, 0.4529877948250692)	(90, 0.4540337593627059)
PM2524_S24_R2 - polyg	(1, 5.125387329068222)	(2, 6.526102994344473)	(3, 6.641888622105923)	(4, 6.656845109520887)	(5, 6.667822559123807)	(6, 6.684383088965026)	(7, 6.704669507885307)	(8, 6.733620517529905)	(9, 6.746814169222471)	(10, 6.773018515114222)	(12, 6.7994691056826)	(14, 6.818393124149018)	(16, 6.8278516813540495)	(18, 6.83508828308914)	(20, 6.8410994148213895)	(22, 6.846347648326517)	(24, 6.851350787831076)	(26, 6.8548511444025735)	(28, 6.857086907985222)	(30, 6.859337630356638)	(32, 6.861928952841521)	(34, 6.864661808481661)	(36, 6.86731526747373)	(38, 6.8698041797893605)	(40, 6.871735014216373)	(42, 6.873643985798264)	(44, 6.87564040876064)	(46, 6.87708680856681)	(48, 6.87854701648569)	(50, 6.88148814449251)	(52, 6.883973604779964)	(54, 6.885491346501793)	(56, 6.886460215743476)	(58, 6.887351989689206)	(60, 6.888244914310995)	(62, 6.889168907186377)	(64, 6.8899064905402)	(66, 6.890556622513539)	(68, 6.891301109923716)	(70, 6.8921353500664955)	(72, 6.89307890443488)	(74, 6.893861364155005)	(76, 6.894640371846952)	(78, 6.895549405933567)	(80, 6.896687424555925)	(82, 6.8979761817420115)	(84, 6.898870257039859)	(86, 6.899879399943607)	(88, 6.900852871889527)	(90, 6.901651441074478)
PM2539_S23_R1 - illumina_universal_adapter	(1, 3.13218376133737e-06)	(2, 3.13218376133737e-06)	(3, 1.566091880668685e-05)	(4, 2.505747009069896e-05)	(5, 2.505747009069896e-05)	(6, 4.6982756420060545e-05)	(7, 4.6982756420060545e-05)	(8, 4.6982756420060545e-05)	(9, 4.6982756420060545e-05)	(10, 5.324712394273529e-05)	(12, 5.6379307704072654e-05)	(14, 6.577585898808478e-05)	(16, 8.926723719811504e-05)	(18, 0.00010962643164680793)	(20, 0.00012685344233416348)	(22, 0.00016287355558954324)	(24, 0.00021455458765160982)	(26, 0.00030852010049173094)	(28, 0.0004150143483772015)	(30, 0.0005841522714894194)	(32, 0.0008425574317997525)	(34, 0.001223117758802243)	(36, 0.0016835487717188364)	(38, 0.0024070832205877685)	(40, 0.0036067096011799813)	(42, 0.005345071588722222)	(44, 0.0072134192023599625)	(46, 0.00956099093148232)	(48, 0.013145775246332942)	(50, 0.018929352561642396)	(52, 0.02668620564659439)	(54, 0.034737484005112104)	(56, 0.04323979682526239)	(58, 0.054241592286959905)	(60, 0.06753301407819504)	(62, 0.08303732369681502)	(64, 0.09954079993530161)	(66, 0.11757748012496286)	(68, 0.13791631537920707)	(70, 0.15852138625316495)	(72, 0.17806308074014882)	(74, 0.19858045046878925)	(76, 0.21932177133636532)	(78, 0.23540710104271337)	(80, 0.24722169819047793)	(82, 0.2570144707202992)	(84, 0.26750415413701806)	(86, 0.27235590678332966)	(88, 0.2736244412066713)	(90, 0.2736244412066713)
PM2539_S23_R1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.08841841539879261)	(4, 0.10053057000388423)	(5, 0.10442387441922657)	(6, 0.10525077093221964)	(7, 0.10683252373169501)	(8, 0.10865232249703202)	(9, 0.11453143141706226)	(10, 0.1184858134157507)	(12, 0.12142693396764648)	(14, 0.12489582748332761)	(16, 0.13018451976434575)	(18, 0.13525082699830895)	(20, 0.1410688583349931)	(22, 0.14792520858856062)	(24, 0.15312619972426134)	(26, 0.158313096033036)	(28, 0.16252118491639278)	(30, 0.16969388572985533)	(32, 0.17605221876537022)	(34, 0.1790387559818054)	(36, 0.18166509206568676)	(38, 0.18410819539952994)	(40, 0.18606111197472378)	(42, 0.1882050917593592)	(44, 0.1935157093267067)	(46, 0.22253539187549745)	(48, 0.23061329379598652)	(50, 0.23635928490615993)	(52, 0.2416213536252067)	(54, 0.24694136774383824)	(56, 0.2524148588667753)	(58, 0.25735744484216566)	(60, 0.2633618411126494)	(62, 0.267972415609338)	(64, 0.2771653749488632)	(66, 0.28985541745792154)	(68, 0.29582535970703056)	(70, 0.3042665949438348)	(72, 0.31202814630442877)	(74, 0.3169769966473418)	(76, 0.3216643096461832)	(78, 0.32577373474105786)	(80, 0.3311203724216607)	(82, 0.33582178024742815)	(84, 0.3401441938380737)	(86, 0.34378692355250906)	(88, 0.3481375267970066)	(90, 0.3512900697527927)
PM2539_S23_R2 - illumina_universal_adapter	(1, 0.00011902298293082006)	(2, 0.0001566091880668685)	(3, 0.00026310343595233905)	(4, 0.0005543965257567145)	(5, 0.0006295689360288114)	(6, 0.0007830459403343424)	(7, 0.0008331608805157404)	(8, 0.0008989367395038252)	(9, 0.0009772413335372594)	(10, 0.0014486349896185335)	(12, 0.0016522269341054626)	(14, 0.0019889366884492297)	(16, 0.002360100464167708)	(18, 0.002839324579652326)	(20, 0.0034219107592610765)	(22, 0.0046043101291659335)	(24, 0.005777312947786779)	(26, 0.008035617439711023)	(28, 0.01207456839995556)	(30, 0.017750085375498874)	(32, 0.025027714344966253)	(34, 0.03461689493030061)	(36, 0.046400170240451795)	(38, 0.06477199409257614)	(40, 0.09587614493453689)	(42, 0.13986766586252025)	(44, 0.18667345390006523)	(46, 0.24613483042529388)	(48, 0.3382335617436579)	(50, 0.47841444598231186)	(52, 0.6517385326915572)	(54, 0.8343338833343612)	(56, 1.0214849952580303)	(58, 1.2420377148126014)	(60, 1.5132597710743267)	(62, 1.8265611500777392)	(64, 2.1523521118294844)	(66, 2.507468144046751)	(68, 2.875819218747548)	(70, 3.2521229080183813)	(72, 3.613800865215649)	(74, 4.141340481310776)	(76, 4.531803207274734)	(78, 4.6733043069687925)	(80, 4.7032244923489674)	(82, 4.713540339566933)	(84, 4.72091193404924)	(86, 4.724556229855556)	(88, 4.725275066028783)	(90, 4.725275066028783)
PM2539_S23_R2 - polya	(1, 0.007711436420412604)	(2, 0.00975362023280457)	(3, 0.013875574062724548)	(4, 0.02042183812391965)	(5, 0.026761378056866486)	(6, 0.03226149274177491)	(7, 0.03660896380251118)	(8, 0.042569509500336195)	(9, 0.049714020659946734)	(10, 0.06335154875680964)	(12, 0.09188261063883174)	(14, 0.11060523907222587)	(16, 0.12979926116170126)	(18, 0.1511466595870961)	(20, 0.16940259264005098)	(22, 0.19351727541858738)	(24, 0.2189662684794535)	(26, 0.23982504623807974)	(28, 0.2539793846555633)	(30, 0.26800686963071274)	(32, 0.2831415815654949)	(34, 0.2965426297883768)	(36, 0.31392468357191855)	(38, 0.33146178045164654)	(40, 0.34686116191426164)	(42, 0.35971877625455156)	(44, 0.37291310034918523)	(46, 0.38707526922607216)	(48, 0.4048096936827643)	(50, 0.4208762302865444)	(52, 0.4332906406246051)	(54, 0.44503163145397817)	(56, 0.46074109910896577)	(58, 0.47559704668898894)	(60, 0.49464855441732347)	(62, 0.5076267578324248)	(64, 0.5198688980636119)	(66, 0.5381483224947768)	(68, 0.555831065919407)	(70, 0.5652119562846124)	(72, 0.5738301599039322)	(74, 0.5831484065939109)	(76, 0.5914189378157222)	(78, 0.5991757909006742)	(80, 0.60773761521229)	(82, 0.6150575286625353)	(84, 0.622815947839368)	(86, 0.6330190364419244)	(88, 0.6391596827060264)	(90, 0.6403342516165279)
PM2539_S23_R2 - polyg	(1, 8.002810946994774)	(2, 9.871925945654043)	(3, 10.178406994517143)	(4, 10.20900842986541)	(5, 10.22824003816002)	(6, 10.249401071651617)	(7, 10.283588857406613)	(8, 10.322014487790701)	(9, 10.347855003821733)	(10, 10.394764153923404)	(12, 10.44124732703353)	(14, 10.469554437776617)	(16, 10.486512080660496)	(18, 10.500787008152791)	(20, 10.512081662796174)	(22, 10.522840714016368)	(24, 10.532616259535502)	(26, 10.53897929084666)	(28, 10.54270815561453)	(30, 10.546588931294828)	(32, 10.550790755810663)	(34, 10.554482034373398)	(36, 10.558298600286589)	(38, 10.562069749535238)	(40, 10.564988944800806)	(42, 10.567995841211689)	(44, 10.571134289340549)	(46, 10.573467766242747)	(48, 10.57598760807874)	(50, 10.579675754457716)	(52, 10.5835737571487)	(54, 10.586601012754034)	(56, 10.589794274098717)	(58, 10.592155940654767)	(60, 10.594926357191667)	(62, 10.597469690405873)	(64, 10.59971390007087)	(66, 10.601876672958076)	(68, 10.604167865379495)	(70, 10.60659217561077)	(72, 10.609312477207489)	(74, 10.611899660994354)	(76, 10.6142049482427)	(78, 10.616950307309512)	(80, 10.61978180142976)	(82, 10.622715091522252)	(84, 10.62561079540961)	(86, 10.627897289555385)	(88, 10.630376413002484)	(90, 10.632188381308417)
PM2577_S13_R1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.008672979990718158)	(4, 0.011097789976767228)	(5, 0.011943814257033739)	(6, 0.012153596761919381)	(7, 0.012391941204089924)	(8, 0.012587935187527684)	(9, 0.013119778157660298)	(10, 0.013694464033720263)	(12, 0.0143041136605945)	(14, 0.014834479289143413)	(16, 0.01573664254959059)	(18, 0.016704301286915208)	(20, 0.01809743440034592)	(22, 0.01993721711924911)	(24, 0.021534223371230655)	(26, 0.02365913301578828)	(28, 0.025635816054781164)	(30, 0.029960979764665198)	(32, 0.03307176869274643)	(34, 0.03506322514757633)	(36, 0.03676413775761156)	(38, 0.03840201712674219)	(40, 0.03938100214954185)	(42, 0.04044764277297448)	(44, 0.04224852216350687)	(46, 0.04741872525926828)	(48, 0.049703680242060254)	(50, 0.0522850884359817)	(52, 0.0556036900801703)	(54, 0.059033092343136535)	(56, 0.06300172428415389)	(58, 0.06606228359838925)	(60, 0.06876089422461772)	(62, 0.0713418099713446)	(64, 0.07386264716033428)	(66, 0.07722113702728282)	(68, 0.08128579617124079)	(70, 0.08722963380966733)	(72, 0.09320400317415703)	(74, 0.09850027275172765)	(76, 0.1076785035640718)	(78, 0.119819789146127)	(80, 0.14402898567824687)	(82, 0.16129319942538506)	(84, 0.18160172172933783)	(86, 0.18790701560857673)	(88, 0.19221494366665093)	(90, 0.19556161480092984)
PM2577_S13_R2 - illumina_universal_adapter	(1, 3.7425986787109925e-05)	(2, 5.613898018066489e-05)	(3, 0.00033584898669485486)	(4, 0.0005860121615350107)	(5, 0.0006106345212633725)	(6, 0.000678592234113651)	(7, 0.0007170031152898955)	(8, 0.0007524593132987364)	(9, 0.0008026889271445945)	(10, 0.0012729759979563048)	(12, 0.0015955289103978443)	(14, 0.0021790788359600187)	(16, 0.0027951302763636306)	(18, 0.0033737557299801327)	(20, 0.003978973332103266)	(22, 0.004821058034813239)	(24, 0.0057099252210071)	(26, 0.006896230512719571)	(28, 0.008639986028682153)	(30, 0.01111354828699338)	(32, 0.013642264631096135)	(34, 0.018288503911838006)	(36, 0.022195579953534453)	(38, 0.027811447760379214)	(40, 0.03620373285019405)	(42, 0.04660815717701061)	(44, 0.05763011028581448)	(46, 0.0706203748313036)	(48, 0.08883254942798369)	(50, 0.11673903949691437)	(52, 0.15141224646639345)	(54, 0.18580525098216377)	(56, 0.22132891425666046)	(58, 0.2657442040762632)	(60, 0.3204220934306471)	(62, 0.3846963012655627)	(64, 0.4580891538022798)	(66, 0.5456132710342984)	(68, 0.6421846281249062)	(70, 0.743653372565485)	(72, 0.8409057841261793)	(74, 0.9886340331300153)	(76, 1.0977603314461148)	(78, 1.144651153312807)	(80, 1.1591753908693732)	(82, 1.165134494370831)	(84, 1.169643340884289)	(86, 1.1721183804841837)	(88, 1.1726182143866695)	(90, 1.1726182143866695)
PM2577_S13_R2 - polyg	(1, 1.1470907367146932)	(2, 1.3580098097253968)	(3, 1.3820658551800062)	(4, 1.3868741095877608)	(5, 1.3915681162463756)	(6, 1.396088781492503)	(7, 1.4030056947873943)	(8, 1.4108828801116917)	(9, 1.4196366214423188)	(10, 1.4321221276133764)	(12, 1.4463046068169132)	(14, 1.4560786987346837)	(16, 1.465449968847298)	(18, 1.475561387093347)	(20, 1.4811171763424547)	(22, 1.4854871527470443)	(24, 1.4911232108888663)	(26, 1.4969981059200534)	(28, 1.5000182845643342)	(30, 1.5053229257442124)	(32, 1.5125702711066586)	(34, 1.5190055710452632)	(36, 1.5228338555358287)	(38, 1.5275135812258012)	(40, 1.5318820802888071)	(42, 1.5348963495667534)	(44, 1.5428823657210502)	(46, 1.5455588162235232)	(48, 1.548165831671562)	(50, 1.5508560706954828)	(52, 1.5547542826876772)	(54, 1.558592416122134)	(56, 1.5614747095519363)	(58, 1.5640674440313327)	(60, 1.567364870446155)	(62, 1.5708863603345051)	(64, 1.5724109768488854)	(66, 1.5738292247692391)	(68, 1.575615823191129)	(70, 1.5786478205680794)	(72, 1.583444748690359)	(74, 1.5862704106927856)	(76, 1.5876847190355827)	(78, 1.5892398672760262)	(80, 1.591633160641623)	(82, 1.5969387867158902)	(84, 1.599979648142343)	(86, 1.6026083312669428)	(88, 1.6044289085452579)	(90, 1.605707793909549)
PM2601_S14_R1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.022544004122847836)	(4, 0.02908860093665566)	(5, 0.03141225992259915)	(6, 0.03188375965858185)	(7, 0.032380075170142596)	(8, 0.03292151027366341)	(9, 0.03417357895055529)	(10, 0.03558695016870441)	(12, 0.03674201172288215)	(14, 0.03782488192992377)	(16, 0.03973456865963364)	(18, 0.041808941899997745)	(20, 0.04468644387725107)	(22, 0.04836481861179559)	(24, 0.05158635747774443)	(26, 0.056085908785962174)	(28, 0.06053018859402885)	(30, 0.0698304644867978)	(32, 0.07667285060754209)	(34, 0.08087912456801938)	(36, 0.08450109981261382)	(38, 0.08799448422012207)	(40, 0.08991883481721895)	(42, 0.09186912917969288)	(44, 0.0951493235151898)	(46, 0.10932138734984707)	(48, 0.11410180811801625)	(50, 0.11951390317362637)	(52, 0.12615889107954534)	(54, 0.13289524615918347)	(56, 0.14057121674138998)	(58, 0.14641420390021875)	(60, 0.15134915927085116)	(62, 0.1563924016621877)	(64, 0.1613803725533732)	(66, 0.16861417113437105)	(68, 0.17731999640306612)	(70, 0.18910974578223183)	(72, 0.20158305697959256)	(74, 0.2120857699980973)	(76, 0.23115782151961795)	(78, 0.2575629347244486)	(80, 0.308484906210581)	(82, 0.34369397979661986)	(84, 0.379786269395277)	(86, 0.39182530452002207)	(88, 0.39980357636836106)	(90, 0.40619363857970564)
PM2601_S14_R2 - illumina_universal_adapter	(1, 2.2559795980033857e-05)	(2, 2.4815775578037244e-05)	(3, 0.0004331480828166501)	(4, 0.0006497221242249752)	(5, 0.0006587460426169887)	(6, 0.0006835618181950259)	(7, 0.0006925857365870394)	(8, 0.0007128895529690699)	(9, 0.0007625211041251444)	(10, 0.001234020840107852)	(12, 0.0015397060756373107)	(14, 0.002184916240666279)	(16, 0.00285832615067029)	(18, 0.003353513672432033)	(20, 0.003981803990475976)	(22, 0.005025194554552542)	(24, 0.006120472649383186)	(26, 0.007483084326577231)	(28, 0.009598065199705404)	(30, 0.0123932239216316)	(32, 0.01490525720400837)	(34, 0.019279601644536938)	(36, 0.02233532601003252)	(38, 0.02632502592910151)	(40, 0.03195369502611996)	(42, 0.03892241600435242)	(44, 0.04579074589047372)	(46, 0.053624635044540486)	(48, 0.06438791370661465)	(50, 0.07929204292082401)	(52, 0.09777979572646175)	(54, 0.11611188593983726)	(56, 0.13501699497110564)	(58, 0.15753054336938044)	(60, 0.18472073747431622)	(62, 0.217875741636373)	(64, 0.25288741700758655)	(66, 0.29231291646229374)	(68, 0.3363011346539627)	(70, 0.3875660150389917)	(72, 0.44993933896458926)	(74, 0.5544825615258653)	(76, 0.6240107247465305)	(78, 0.6570709777654711)	(80, 0.6685900095928764)	(82, 0.673653555800595)	(84, 0.6775631684439349)	(86, 0.6799928584709846)	(88, 0.6806155088400335)	(90, 0.6806155088400335)
