NC_040776.1	Rocio virus
NC_040788.1	Kampung Karu virus
NC_040815.1	Hepacivirus P
NC_043110.1	Banzi virus
NC_043111.1	Bukalasa bat virus
NC_043112.1	Carey Island virus
NC_043113.1	Cowbone Ridge virus
NC_043114.1	Dakar bat virus
NC_043116.1	Koutango virus
NC_043117.1	Sal Vieja virus
NC_043118.1	San Perlita virus
NC_074786.1	Guereza hepacivirus
NC_074787.1	Pegivirus platyrrhini
NC_076029.1	Bovine viral diarrhea virus 1-SD1
NC_076032.1	Bovine viral diarrhea virus 2
NC_077000.1	Rodent pestivirus
NC_077001.1	Rodent pestivirus
NC_077015.1	Bat pestivirus BtSk-PestV-1/GX2017
NC_077023.1	Pestivirus sp.
NC_077024.1	Dongyang pangolin virus
NC_077026.1	Phocoena pestivirus
