tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,known_pathogen
3114547,2,3114547,Rhizosphaericola,"",bacteria,false,,,,0.5409268037007057,48,,,99.0857,94.8542,10^-50.9376,,,,,,,,,,,,,,,,,[2545455],0
2545455,1,3114547,Rhizosphaericola mali,"",bacteria,false,,,,0.5409268037007057,48,,,99.0857,94.8542,10^-50.9376,,,,,,,,,,,,,,,,,,0
3112694,2,3112694,Cryoendolithus,"",eukaryota,false,,,,,,,,,,,,,,,,0.1803089345669019,16,,,93.7875,30.25,10^-9.04771,,,,,[1507870],0
1507870,1,3112694,Cryoendolithus antarcticus,"",eukaryota,false,,,,,,,,,,,,,,,,0.1803089345669019,16,,,93.7875,30.25,10^-9.04771,,,,,,0
3108216,2,3108216,Jeongeuplla,"",bacteria,false,,,,0.07888515887301957,7,,,99.2103,90.7143,10^-48.3906,,,,,,,,,,,,,,,,,[2998449],0
2998449,1,3108216,Jeongeuplla avenae,"",bacteria,false,,,,0.07888515887301957,7,,,99.2103,90.7143,10^-48.3906,,,,,,,,,,,,,,,,,,0
3085327,2,3085327,Fermentithermobacillus,"",bacteria,false,,,,0.011269308410431368,1,,,96.774,93.0,10^-46.8093,,,,,,,,,,,,,,,,,[3085328],0
3085328,1,3085327,Candidatus Fermentithermobacillus carboniphilus,"",bacteria,false,,,,0.011269308410431368,1,,,96.774,93.0,10^-46.8093,,,,,,,,,,,,,,,,,,0
3078171,2,3078171,Hujiaoplasma,"",bacteria,false,,,,3.031443962406038,269,1,267,86.1668,157.075,10^-37.0919,,,,,,,,,,,,,,,,,[2725268],0
2725268,1,3078171,Hujiaoplasma nucleasis,"",bacteria,false,,,,3.031443962406038,269,1,267,86.1668,157.075,10^-37.0919,,,,,,,,,,,,,,,,,,0
3076670,2,3076670,Claveliimonas,"",bacteria,false,,,,0.04507723364172547,4,,,98.8637,78.75,10^-39.8575,,,,,,,,,,,,,,,,,[3028070],0
3028070,1,3076670,Claveliimonas bilis,"",bacteria,false,,,,0.04507723364172547,4,,,98.8637,78.75,10^-39.8575,,,,,,,,,,,,,,,,,,0
3074114,2,3074114,Pallidohirschioporus,"",eukaryota,false,,,,0.04507723364172547,4,,,99.7525,100.0,10^-55.3551,,,,,,,,,,,,,,,,,[3028961],0
3028961,1,3074114,Pallidohirschioporus polycystidiatus,"",eukaryota,false,,,,0.04507723364172547,4,,,99.7525,100.0,10^-55.3551,,,,,,,,,,,,,,,,,,0
3068352,2,3068352,Rubroshorea,"",eukaryota,false,,,,,,,,,,,,,,,,0.14650100933560778,13,,,83.8154,30.3077,10^-7.94604,,,,,[152421],0
152421,1,3068352,Rubroshorea leprosula,"",eukaryota,false,,,,,,,,,,,,,,,,0.14650100933560778,13,,,83.8154,30.3077,10^-7.94604,,,,,,0
3065395,2,3065395,Thermocoleostomius,"",bacteria,false,,,,0.022538616820862736,2,,,97.647,85.0,10^-42.7313,,,,,,,,,,,,,,,,,[3065396],0
3065396,1,3065395,Thermocoleostomius sinensis,"",bacteria,false,,,,0.022538616820862736,2,,,97.647,85.0,10^-42.7313,,,,,,,,,,,,,,,,,,0
3060409,2,3060409,Alkanophaga,"",archaea,false,,,,,,,,,,,,,,,,0.022538616820862736,2,,,75.0,30.0,10^-4.67104,,,,,[2971472],0
2971472,1,3060409,Candidatus Alkanophaga volatiphilum,"",archaea,false,,,,,,,,,,,,,,,,0.022538616820862736,2,,,75.0,30.0,10^-4.67104,,,,,,0
3059504,2,3059504,Allocoprobacillus,"",bacteria,false,,,,0.022538616820862736,2,,,86.2985,98.5,10^-36.1486,,,,,,,,,,,,,,,,,[2944914],0
2944914,1,3059504,Allocoprobacillus halotolerans,"",bacteria,false,,,,0.022538616820862736,2,,,86.2985,98.5,10^-36.1486,,,,,,,,,,,,,,,,,,0
3051539,2,3051539,Nitrobium,"",bacteria,false,,,,,,,,,,,,,,,,0.011269308410431368,1,,,69.7,33.0,10^-5.35067,,,,,[2884831],0
