tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,known_pathogen
3112694,2,3112694,Cryoendolithus,"",eukaryota,false,,,,,,,,,,,,,,,,0.04553261484809828,5,,,76.52,31.4,10^-7.06571,,,,,[1507870],0
1507870,1,3112694,Cryoendolithus antarcticus,"",eukaryota,false,,,,,,,,,,,,,,,,0.04553261484809828,5,,,76.52,31.4,10^-7.06571,,,,,,0
3108216,2,3108216,Jeongeuplla,"",bacteria,false,,,,0.027319568908858966,3,,,98.68,100.667,10^-54.3229,,,,,,,,,,,,,,,,,[2998449],0
2998449,1,3108216,Jeongeuplla avenae,"",bacteria,false,,,,0.027319568908858966,3,,,98.68,100.667,10^-54.3229,,,,,,,,,,,,,,,,,,0
3097638,2,3097638,Kirkpatrickella,"",bacteria,false,,,,0.009106522969619656,1,,,100.0,100.0,10^-55.6982,,,,,,,,,,,,,,,,,[2984322],0
2984322,1,3097638,Candidatus Kirkpatrickella diaphorinae,"",bacteria,false,,,,0.009106522969619656,1,,,100.0,100.0,10^-55.6982,,,,,,,,,,,,,,,,,,0
3088889,2,3088889,Aurantibacillus,"",bacteria,false,,,,0.018213045939239312,2,,,98.1555,81.0,10^-40.6937,,,,,,,,,,,,,,,,,[3036359],0
3036359,1,3088889,Aurantibacillus circumpalustris,"",bacteria,false,,,,0.018213045939239312,2,,,98.1555,81.0,10^-40.6937,,,,,,,,,,,,,,,,,,0
3085669,2,3085669,Paenimyroides,"",bacteria,false,,,,0.018213045939239312,2,,,100.0,98.0,10^-54.3346,,,,,,,,,,,,,,,,,[2968490],0
2968490,1,3085669,Paenimyroides aestuarii,"",bacteria,false,,,,0.018213045939239312,2,,,100.0,98.0,10^-54.3346,,,,,,,,,,,,,,,,,,0
3085664,2,3085664,Exercitatus,"",bacteria,false,,,,,,,,,,,,,,,,0.009106522969619656,1,,,93.9,33.0,10^-13.719,,,,,[67857],0
67857,1,3085664,Exercitatus varius,"",bacteria,false,,,,,,,,,,,,,,,,0.009106522969619656,1,,,93.9,33.0,10^-13.719,,,,,,0
3081214,2,3081214,Stygiobacter,"",bacteria,false,,,,,,,,,,,,,,,,0.009106522969619656,1,,,84.8,33.0,10^-8.3439,,,,,[3081216],0
3081216,1,3081214,Stygiobacter sp.,"",bacteria,false,,,,,,,,,,,,,,,,0.009106522969619656,1,,,84.8,33.0,10^-8.3439,,,,,,0
3079908,2,3079908,Picosynechococcus,"",bacteria,false,,,,0.009106522969619656,1,,,96.04,101.0,10^-50.8906,,,,,,,,,,,,,,,,,[111781],0
111781,1,3079908,[Leptolyngbya] sp. PCC 7376,"",bacteria,false,,,,0.009106522969619656,1,,,96.04,101.0,10^-50.8906,,,,,,,,,,,,,,,,,,0
3076685,2,3076685,Natronosalvus,"",archaea,false,,,,0.009106522969619656,1,,,90.0,40.0,10^-9.43554,,,,,,,,,,,,,,,,,[2961994],0
2961994,1,3076685,Natronosalvus amylolyticus,"",archaea,false,,,,0.009106522969619656,1,,,90.0,40.0,10^-9.43554,,,,,,,,,,,,,,,,,,0
3076670,2,3076670,Claveliimonas,"",bacteria,false,,,,0.036426091878478624,4,,,100.0,94.0,10^-51.608,,,,,,,,,,,,,,,,,[3028070],0
3028070,1,3076670,Claveliimonas bilis,"",bacteria,false,,,,0.036426091878478624,4,,,100.0,94.0,10^-51.608,,,,,,,,,,,,,,,,,,0
3076095,2,3076095,Stratiformator,"",bacteria,false,,,,0.027319568908858966,3,,,93.4447,83.3333,10^-36.5683,,,,,,,,,,,,,,,,,[2527980],0
2527980,1,3076095,Stratiformator vulcanicus,"",bacteria,false,,,,0.027319568908858966,3,,,93.4447,83.3333,10^-36.5683,,,,,,,,,,,,,,,,,,0
3075137,2,3075137,Dermatobacter,"",bacteria,false,,,,0.009106522969619656,1,,,95.0,100.0,10^-48.8363,,,,,,,,,,,,,,,,,[2884263],0
2884263,1,3075137,Dermatobacter hominis,"",bacteria,false,,,,0.009106522969619656,1,,,95.0,100.0,10^-48.8363,,,,,,,,,,,,,,,,,,0
3074372,2,3074372,Selenobaculum,"",bacteria,false,,,,0.009106522969619656,1,,,97.03,101.0,10^-52.2629,,,,,,,,,,,,,,,,,[3054208],0
3054208,1,3074372,Selenobaculum gbiensis,"",bacteria,false,,,,0.009106522969619656,1,,,97.03,101.0,10^-52.2629,,,,,,,,,,,,,,,,,,0
3068352,2,3068352,Rubroshorea,"",eukaryota,false,,,,,,,,,,,,,,,,0.20034350533163242,22,1,8,77.6749,49.1364,10^-12.6363,,,,,[152421],0
152421,1,3068352,Rubroshorea leprosula,"",eukaryota,false,,,,,,,,,,,,,,,,0.20034350533163242,22,1,8,77.6749,49.1364,10^-12.6363,,,,,,0
3067300,2,3067300,Emblica,"",eukaryota,false,,,,0.009106522969619656,1,,,100.0,88.0,10^-47.5195,,,,,,,,,,,,,,,,,[296036],0
296036,1,3067300,Emblica officinalis,"",eukaryota,false,,,,0.009106522969619656,1,,,100.0,88.0,10^-47.5195,,,,,,,,,,,,,,,,,,0
3058778,2,3058778,Brytella,"",bacteria,false,,,,,,,,,,,,,,,,0.009106522969619656,1,,,100.0,33.0,10^-12.1101,,,,,[2959299],0
2959299,1,3058778,Brytella acorum,"",bacteria,false,,,,,,,,,,,,,,,,0.009106522969619656,1,,,100.0,33.0,10^-12.1101,,,,,,0
3051137,2,3051137,Paracidovorax,"",bacteria,false,,,,0.07285218375695725,8,,,98.6667,90.0,10^-47.5133,,,,,,,,,,,,,,,,,[80867],0
80867,1,3051137,Paracidovorax avenae,"",bacteria,false,,,,0.07285218375695725,8,,,98.6667,90.0,10^-47.5133,,,,,,,,,,,,,,,,,,0
3050722,2,3050722,Algicella,"",bacteria,false,,,,0.018213045939239312,2,,,96.259,90.0,10^-44.0821,,,,,,,,,,,,,,,,,[2683284],0
2683284,1,3050722,Algicella marina,"",bacteria,false,,,,0.018213045939239312,2,,,96.259,90.0,10^-44.0821,,,,,,,,,,,,,,,,,,0
3050007,2,3050007,Fontisphaera,"",bacteria,false,,,,0.018213045939239312,2,,,90.9445,99.5,10^-43.006,,,,,,,,,,,,,,,,,[2974023],0
2974023,1,3050007,Fontisphaera persica,"",bacteria,false,,,,0.018213045939239312,2,,,90.9445,99.5,10^-43.006,,,,,,,,,,,,,,,,,,0
3048127,2,3048127,Thermocaproicibacter,"",bacteria,false,,,,0.018213045939239312,2,,,97.333,75.0,10^-35.9238,,,,,,,,,,,,,,,,,[2966552],0
2966552,1,3048127,Thermocaproicibacter melissae,"",bacteria,false,,,,0.018213045939239312,2,,,97.333,75.0,10^-35.9238,,,,,,,,,,,,,,,,,,0
3046369,2,3046369,Aristaeella,"",bacteria,false,,,,0.018213045939239312,2,,,93.4675,100.0,10^-46.7779,,,,,,,,,,,,,,,,,[3046382],0
3046382,1,3046369,Aristaeella hokkaidonensis,"",bacteria,false,,,,0.018213045939239312,2,,,93.4675,100.0,10^-46.7779,,,,,,,,,,,,,,,,,,0
3041336,2,3041336,Stipitochalara,"",eukaryota,false,,,,,,,,,,,,,,,,0.036426091878478624,4,,,84.55,32.0,10^-10.2843,,,,,[112123],0
112123,1,3041336,Stipitochalara longipes,"",eukaryota,false,,,,,,,,,,,,,,,,0.036426091878478624,4,,,84.55,32.0,10^-10.2843,,,,,,0
3035412,2,3035412,Phlebiodontia,"",eukaryota,false,,,,0.018213045939239312,2,,,100.0,93.0,10^-50.9264,,,,,,,,,,,,,,,,,[98775],0
98775,1,3035412,Phlebiodontia subochracea,"",eukaryota,false,,,,0.018213045939239312,2,,,100.0,93.0,10^-50.9264,,,,,,,,,,,,,,,,,,0
3033930,2,3033930,Fervidibacillus,"",bacteria,false,,,,0.018213045939239312,2,,,97.619,84.0,10^-42.0502,,,,,,,,,,,,,,,,,[2980026],0
2980026,1,3033930,Fervidibacillus albus,"",bacteria,false,,,,0.018213045939239312,2,,,97.619,84.0,10^-42.0502,,,,,,,,,,,,,,,,,,0
3027666,2,3027666,Aristophania,"",bacteria,false,,,,0.036426091878478624,4,,,100.0,100.0,10^-55.6982,,,,,,,,,,,,,,,,,[2697033],0
2697033,1,3027666,Aristophania vespae,"",bacteria,false,,,,0.036426091878478624,4,,,100.0,100.0,10^-55.6982,,,,,,,,,,,,,,,,,,0
3026546,2,3026546,Duffyella,"",bacteria,false,,,,0.036426091878478624,4,,,100.0,47.5,10^-20.0009,,,,,,,,,,,,,,,,,[1619313],0
1619313,1,3026546,Duffyella gerundensis,"",bacteria,false,,,,0.036426091878478624,4,,,100.0,47.5,10^-20.0009,,,,,,,,,,,,,,,,,,0
3025755,2,3025755,Thomasclavelia,"",bacteria,false,,,,0.018213045939239312,2,,,100.0,51.0,10^-22.3675,,,,,,1.110995802293598,122,1,116,56.1525,183.025,10^-42.4192,,,,,"[29348, 1547, 1522]",0
29348,1,3025755,Thomasclavelia spiroformis,"",bacteria,false,,,,0.018213045939239312,2,,,100.0,51.0,10^-22.3675,,,,,,,,,,,,,,,,,,0
1547,1,3025755,Thomasclavelia ramosa,"",bacteria,false,,,,,,,,,,,,,,,,0.027319568908858966,3,,,97.8,31.0,10^-12.4078,,,,,,0
1522,1,3025755,[Clostridium] innocuum,"",bacteria,false,,,,,,,,,,,,,,,,1.083676233384739,119,1,116,55.0846,186.923,10^-43.1887,,,,,,0
3020832,2,3020832,Alloalcanivorax,"",bacteria,false,,,,0.009106522969619656,1,,,99.01,101.0,10^-55.0077,,,,,,,,,,,,,,,,,[285091],0
285091,1,3020832,Alloalcanivorax dieselolei,"",bacteria,false,,,,0.009106522969619656,1,,,99.01,101.0,10^-55.0077,,,,,,,,,,,,,,,,,,0
3018276,2,3018276,Aliamphritea,"",bacteria,false,,,,0.009106522969619656,1,,,100.0,47.0,10^-19.6583,,,,,,,,,,,,,,,,,[2895352],0
2895352,1,3018276,Aliamphritea hakodatensis,"",bacteria,false,,,,0.009106522969619656,1,,,100.0,47.0,10^-19.6583,,,,,,,,,,,,,,,,,,0
3003476,2,3003476,Sinisalibacter,"",bacteria,false,,,,,,,,,,,,,,,,0.036426091878478624,4,,,96.75,24.0,10^-6.21479,,,,,[1526570],0
1526570,1,3003476,Sinisalibacter lacisalsi,"",bacteria,false,,,,,,,,,,,,,,,,0.036426091878478624,4,,,96.75,24.0,10^-6.21479,,,,,,0
2997369,2,2997369,Petropleomorpha,"",bacteria,false,,,,,,,,,,,,,,,,0.027319568908858966,3,,,94.8,32.6667,10^-10.0571,,,,,[2026353],0
2026353,1,2997369,Petropleomorpha daqingensis,"",bacteria,false,,,,,,,,,,,,,,,,0.027319568908858966,3,,,94.8,32.6667,10^-10.0571,,,,,,0
2997368,2,2997368,Trujillonella,"",bacteria,false,,,,,,,,,,,,,,,,0.009106522969619656,1,,,100.0,33.0,10^-13.6326,,,,,[673521],0
673521,1,2997368,Trujillella endophytica,"",bacteria,false,,,,,,,,,,,,,,,,0.009106522969619656,1,,,100.0,33.0,10^-13.6326,,,,,,0
2997349,2,2997349,Winslowiella,"",bacteria,false,,,,,,,,,,,,,,,,0.018213045939239312,2,,,95.45,33.0,10^-10.6441,,,,,[2978220],0
2978220,1,2997349,Winslowiella arboricola,"",bacteria,false,,,,,,,,,,,,,,,,0.018213045939239312,2,,,95.45,33.0,10^-10.6441,,,,,,0
2995704,2,2995704,Peterkaempfera,"",bacteria,false,,,,0.009106522969619656,1,,,96.341,82.0,10^-39.3159,,,,,,,,,,,,,,,,,[2126346],0
2126346,1,2995704,Peterkaempfera bronchialis,"",bacteria,false,,,,0.009106522969619656,1,,,96.341,82.0,10^-39.3159,,,,,,,,,,,,,,,,,,0
2995702,2,2995702,Actinacidiphila,"",bacteria,false,,,,0.05463913781771793,6,,,96.5063,100.5,10^-51.0071,,,,,,0.036426091878478624,4,,,82.85,30.75,10^-7.16867,,,,,"[1436133, 887465, 310782]",0
1436133,1,2995702,Actinacidiphila bryophytorum,"",bacteria,false,,,,0.05463913781771793,6,,,96.5063,100.5,10^-51.0071,,,,,,0.018213045939239312,2,,,84.45,32.5,10^-8.92639,,,,,,0
887465,1,2995702,Actinacidiphila cocklensis,"",bacteria,false,,,,,,,,,,,,,,,,0.009106522969619656,1,,,62.5,32.0,10^-4.50585,,,,,,0
310782,1,2995702,Actinacidiphila paucisporea,"",bacteria,false,,,,,,,,,,,,,,,,0.009106522969619656,1,,,100.0,26.0,10^-6.31605,,,,,,0
2994362,2,2994362,Parafrankia,"",bacteria,false,,,,,,,,,,,,,,,,0.009106522969619656,1,,,100.0,33.0,10^-12.2782,,,,,[222540],0
222540,1,2994362,Parafrankia sp. BMG5.11,"",bacteria,false,,,,,,,,,,,,,,,,0.009106522969619656,1,,,100.0,33.0,10^-12.2782,,,,,,0
2981630,2,2981630,Anthropogastromicrobium,"",bacteria,false,,,,,,,,,,,,,,,,0.009106522969619656,1,,,100.0,32.0,10^-11.2104,,,,,[2981768],0
2981768,1,2981630,Anthropogastromicrobium aceti,"",bacteria,false,,,,,,,,,,,,,,,,0.009106522969619656,1,,,100.0,32.0,10^-11.2104,,,,,,0
2979332,2,2979332,Prescottella,"",bacteria,false,,,,0.0637456607873376,7,,,91.7883,82.0,10^-34.5215,,,,,,0.018213045939239312,2,,,95.75,23.5,10^-4.8773,,,,,"[1323361, 43767]",1
1323361,1,2979332,Prescottella defluvii,"",bacteria,false,,,,0.018213045939239312,2,,,87.209,86.0,10^-31.061,,,,,,,,,,,,,,,,,,0
43767,1,2979332,Prescottella equi,"",bacteria,false,,,,0.04553261484809828,5,,,94.078,80.0,10^-36.2518,,,,,,0.018213045939239312,2,,,95.75,23.5,10^-4.8773,,,,,,1
2976759,2,2976759,Capillimicrobium,"",bacteria,false,,,,0.05463913781771793,6,,,93.1098,92.6,10^-42.1519,,,,,,0.018213045939239312,2,,,90.0,30.0,10^-9.90309,,,,,[2884022],0
2884022,1,2976759,Capillimicrobium parvum,"",bacteria,false,,,,0.05463913781771793,6,,,93.1098,92.6,10^-42.1519,,,,,,0.018213045939239312,2,,,90.0,30.0,10^-9.90309,,,,,,0
2974257,2,2974257,Hoylesella,"",bacteria,false,,,,0.05463913781771793,6,,,98.3663,92.1667,10^-48.5318,,,,,,0.1457043675139145,16,,,97.16,28.8,10^-9.52172,,,,,"[425941, 386414, 28127, 840]",0
425941,1,2974257,Hoylesella nanceiensis,"",bacteria,false,,,,0.009106522969619656,1,,,98.99,99.0,10^-53.644,,,,,,0.027319568908858966,3,,,100.0,29.0,10^-10.9711,,,,,,0
386414,1,2974257,Hoylesella timonensis,"",bacteria,false,,,,,,,,,,,,,,,,0.0637456607873376,7,,,93.9143,25.7143,10^-6.29978,,,,,,0
28127,1,2974257,Hoylesella buccalis,"",bacteria,false,,,,0.04553261484809828,5,,,98.2416,90.8,10^-47.5094,,,,,,0.018213045939239312,2,,,100.0,33.0,10^-10.6504,,,,,,0
840,1,2974257,Hoylesella loescheii,"",bacteria,false,,,,,,,,,,,,,,,,0.036426091878478624,4,,,100.0,33.0,10^-14.8377,,,,,,0
