Sample,Read_Type,Total_Reads,Aligned_Concordantly_0,Aligned_Concordantly_1,Aligned_Concordantly_1_Percent,Aligned_Concordantly_GT1,Overall_Alignment_Rate
PM2486,paired,45590231,30551892,277551,6635661,66.49
PM2486,unpaired,3734541,1445854,50108,2238579,61.28
PM2486,unpaired,371462,176230,4808,190424,52.56
PM2494,paired,26021270,13922131,130850,4408553,73.25
PM2494,unpaired,2679177,839644,33429,1806104,68.66
PM2494,unpaired,227207,94148,2845,130214,58.56
PM2497,paired,39833738,42891137,188898,2813625,46.16
PM2497,unpaired,2343970,1481475,23005,839490,36.80
PM2497,unpaired,314636,212101,3355,99180,32.59
PM2524,paired,40238992,22238653,284277,6108666,72.37
PM2524,unpaired,2733019,888064,41644,1803311,67.51
PM2524,unpaired,336300,138885,5180,192235,58.70
PM2539,paired,27316654,15298416,185361,5929107,72.00
PM2539,unpaired,4108491,1563547,46693,2498251,61.94
PM2539,unpaired,307773,134760,3599,169414,56.21
PM2577,paired,96539214,53131907,294877,5823326,72.48
PM2577,unpaired,3967358,1381358,48351,2537649,65.18
PM2577,unpaired,666967,336151,8949,321867,49.60
PM2601,paired,20975952,24166005,200384,16893451,42.40
PM2601,unpaired,693711,376154,2187,315370,45.78
PM2601,unpaired,259732,138133,767,120832,46.82
PM2616,paired,20384194,8577924,140263,6749487,78.96
PM2616,unpaired,3102520,841430,28313,2232777,72.88
PM2616,unpaired,229738,67093,2063,160582,70.80
PM2622,paired,37046597,8045777,96398,2100637,89.14
PM2622,unpaired,1311301,232711,11081,1067509,82.25
PM2622,unpaired,242157,83568,3028,155561,65.49
