Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
PM3051_R1_unpaired	(50, 13131.0)	(51, 14163.0)	(52, 13231.0)	(53, 12839.0)	(54, 13365.0)	(55, 11722.0)	(56, 12847.0)	(57, 11117.0)	(58, 13331.0)	(59, 11552.0)	(60, 11385.0)	(61, 11591.0)	(62, 12352.0)	(63, 11813.0)	(64, 12039.0)	(65, 10304.0)	(66, 12251.0)	(67, 10964.0)	(68, 10966.0)	(69, 10417.0)	(70, 10618.0)	(71, 10262.0)	(72, 11721.0)	(73, 16823.0)	(74, 38722.0)	(75, 112142.0)	(76, 242231.0)
PM3051_R2_paired	(50, 15822.0)	(51, 18114.0)	(52, 16914.0)	(53, 19692.0)	(54, 16240.0)	(55, 19540.0)	(56, 17423.0)	(57, 19888.0)	(58, 17861.0)	(59, 22372.0)	(60, 20571.0)	(61, 23655.0)	(62, 18701.0)	(63, 25639.0)	(64, 22004.0)	(65, 25395.0)	(66, 23440.0)	(67, 23793.0)	(68, 23530.0)	(69, 24290.0)	(70, 24113.0)	(71, 31987.0)	(72, 36406.0)	(73, 61358.0)	(74, 170535.0)	(75, 649686.0)	(76, 1460926.0)
PM3051_R2_unpaired	(50, 5723.0)	(51, 6274.0)	(52, 5792.0)	(53, 6190.0)	(54, 5004.0)	(55, 5651.0)	(56, 4945.0)	(57, 5475.0)	(58, 4627.0)	(59, 5650.0)	(60, 4903.0)	(61, 5327.0)	(62, 4182.0)	(63, 5411.0)	(64, 4540.0)	(65, 4813.0)	(66, 4350.0)	(67, 4283.0)	(68, 4088.0)	(69, 3931.0)	(70, 3770.0)	(71, 4379.0)	(72, 4378.0)	(73, 5533.0)	(74, 10034.0)	(75, 30931.0)	(76, 53499.0)
PM3153_R1_paired	(50, 8521.0)	(51, 9949.0)	(52, 9616.0)	(53, 9396.0)	(54, 10022.0)	(55, 9340.0)	(56, 10319.0)	(57, 9868.0)	(58, 12294.0)	(59, 11475.0)	(60, 11831.0)	(61, 12396.0)	(62, 13607.0)	(63, 13623.0)	(64, 13961.0)	(65, 13113.0)	(66, 16042.0)	(67, 15066.0)	(68, 15375.0)	(69, 15522.0)	(70, 17493.0)	(71, 19562.0)	(72, 29167.0)	(73, 76373.0)	(74, 205691.0)	(75, 754005.0)	(76, 1822470.0)
PM3153_R1_unpaired	(50, 14815.0)	(51, 15700.0)	(52, 14834.0)	(53, 14005.0)	(54, 14479.0)	(55, 12897.0)	(56, 14107.0)	(57, 12146.0)	(58, 14485.0)	(59, 12872.0)	(60, 12689.0)	(61, 13068.0)	(62, 13985.0)	(63, 13168.0)	(64, 13423.0)	(65, 11431.0)	(66, 13664.0)	(67, 12514.0)	(68, 12329.0)	(69, 11629.0)	(70, 12129.0)	(71, 11845.0)	(72, 13226.0)	(73, 18082.0)	(74, 41528.0)	(75, 127529.0)	(76, 260779.0)
PM3153_R2_paired	(50, 17150.0)	(51, 19158.0)	(52, 18634.0)	(53, 20496.0)	(54, 17267.0)	(55, 20801.0)	(56, 18897.0)	(57, 21522.0)	(58, 19069.0)	(59, 24550.0)	(60, 22970.0)	(61, 26321.0)	(62, 20384.0)	(63, 28379.0)	(64, 24967.0)	(65, 28961.0)	(66, 26738.0)	(67, 25723.0)	(68, 26264.0)	(69, 26533.0)	(70, 26386.0)	(71, 34626.0)	(72, 40085.0)	(73, 69836.0)	(74, 195078.0)	(75, 747634.0)	(76, 1597668.0)
PM3153_R2_unpaired	(50, 6273.0)	(51, 6849.0)	(52, 6447.0)	(53, 6644.0)	(54, 5433.0)	(55, 6472.0)	(56, 5593.0)	(57, 6033.0)	(58, 5053.0)	(59, 6122.0)	(60, 5595.0)	(61, 6014.0)	(62, 4730.0)	(63, 5960.0)	(64, 5077.0)	(65, 5357.0)	(66, 4774.0)	(67, 4895.0)	(68, 4690.0)	(69, 4411.0)	(70, 4391.0)	(71, 4989.0)	(72, 4939.0)	(73, 6360.0)	(74, 11405.0)	(75, 35839.0)	(76, 58662.0)
PM3183_R1_paired	(50, 8238.0)	(51, 9310.0)	(52, 9087.0)	(53, 8814.0)	(54, 9384.0)	(55, 8551.0)	(56, 9722.0)	(57, 8731.0)	(58, 10959.0)	(59, 10116.0)	(60, 10418.0)	(61, 10927.0)	(62, 12179.0)	(63, 12125.0)	(64, 12793.0)	(65, 12150.0)	(66, 14666.0)	(67, 13691.0)	(68, 13949.0)	(69, 13449.0)	(70, 14685.0)	(71, 15196.0)	(72, 21851.0)	(73, 81815.0)	(74, 181164.0)	(75, 553339.0)	(76, 1491030.0)
PM3183_R1_unpaired	(50, 12182.0)	(51, 12856.0)	(52, 12349.0)	(53, 11540.0)	(54, 12066.0)	(55, 10364.0)	(56, 11415.0)	(57, 9627.0)	(58, 12000.0)	(59, 10156.0)	(60, 9990.0)	(61, 10323.0)	(62, 11272.0)	(63, 10585.0)	(64, 10393.0)	(65, 9428.0)	(66, 11012.0)	(67, 10258.0)	(68, 9832.0)	(69, 9367.0)	(70, 9609.0)	(71, 9050.0)	(72, 9961.0)	(73, 15917.0)	(74, 33000.0)	(75, 90604.0)	(76, 203313.0)
PM3183_R2_paired	(50, 13938.0)	(51, 15768.0)	(52, 15303.0)	(53, 16905.0)	(54, 13993.0)	(55, 16934.0)	(56, 15612.0)	(57, 17409.0)	(58, 15586.0)	(59, 19891.0)	(60, 18277.0)	(61, 21159.0)	(62, 16716.0)	(63, 22449.0)	(64, 19686.0)	(65, 21874.0)	(66, 19717.0)	(67, 20993.0)	(68, 21082.0)	(69, 21602.0)	(70, 21301.0)	(71, 28894.0)	(72, 32380.0)	(73, 52209.0)	(74, 150590.0)	(75, 582619.0)	(76, 1345452.0)
PM3183_R2_unpaired	(50, 5827.0)	(51, 6123.0)	(52, 5682.0)	(53, 6157.0)	(54, 4876.0)	(55, 5806.0)	(56, 4938.0)	(57, 5348.0)	(58, 4711.0)	(59, 5626.0)	(60, 4976.0)	(61, 5416.0)	(62, 4333.0)	(63, 5463.0)	(64, 4493.0)	(65, 4733.0)	(66, 4274.0)	(67, 4321.0)	(68, 4291.0)	(69, 4028.0)	(70, 4071.0)	(71, 4619.0)	(72, 4667.0)	(73, 5777.0)	(74, 10463.0)	(75, 32491.0)	(76, 58528.0)
Undetermined_R1_paired	(50, 3368.0)	(51, 3755.0)	(52, 4301.0)	(53, 4517.0)	(54, 4494.0)	(55, 4032.0)	(56, 4594.0)	(57, 4067.0)	(58, 5208.0)	(59, 4359.0)	(60, 4877.0)	(61, 4771.0)	(62, 5423.0)	(63, 4755.0)	(64, 6327.0)	(65, 4687.0)	(66, 5925.0)	(67, 5310.0)	(68, 6212.0)	(69, 6057.0)	(70, 6323.0)	(71, 7219.0)	(72, 10715.0)	(73, 27303.0)	(74, 66472.0)	(75, 247185.0)	(76, 604246.0)
Undetermined_R1_unpaired	(50, 6551.0)	(51, 6847.0)	(52, 7060.0)	(53, 7264.0)	(54, 7136.0)	(55, 5829.0)	(56, 6519.0)	(57, 5510.0)	(58, 6852.0)	(59, 5465.0)	(60, 5675.0)	(61, 5423.0)	(62, 5752.0)	(63, 5263.0)	(64, 6180.0)	(65, 4483.0)	(66, 5409.0)	(67, 4967.0)	(68, 5310.0)	(69, 5036.0)	(70, 4933.0)	(71, 5082.0)	(72, 6015.0)	(73, 8296.0)	(74, 17781.0)	(75, 55366.0)	(76, 114209.0)
Undetermined_R2_paired	(50, 6630.0)	(51, 6672.0)	(52, 6815.0)	(53, 8291.0)	(54, 6475.0)	(55, 8125.0)	(56, 6821.0)	(57, 8606.0)	(58, 8132.0)	(59, 8540.0)	(60, 8039.0)	(61, 9758.0)	(62, 7661.0)	(63, 9732.0)	(64, 8681.0)	(65, 9433.0)	(66, 10397.0)	(67, 8790.0)	(68, 9126.0)	(69, 10189.0)	(70, 10195.0)	(71, 12774.0)	(72, 13492.0)	(73, 25541.0)	(74, 64570.0)	(75, 249721.0)	(76, 523296.0)
Undetermined_R2_unpaired	(50, 2395.0)	(51, 2130.0)	(52, 2211.0)	(53, 2568.0)	(54, 1896.0)	(55, 2130.0)	(56, 1853.0)	(57, 2118.0)	(58, 1958.0)	(59, 2006.0)	(60, 1791.0)	(61, 2101.0)	(62, 1696.0)	(63, 1880.0)	(64, 1663.0)	(65, 1685.0)	(66, 1766.0)	(67, 1477.0)	(68, 1491.0)	(69, 1545.0)	(70, 1555.0)	(71, 1627.0)	(72, 1553.0)	(73, 2244.0)	(74, 3721.0)	(75, 11554.0)	(76, 20053.0)
