Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
PM2494_R2_unpaired	(50, 29168.0)	(52, 26218.0)	(54, 25579.0)	(56, 26707.0)	(58, 29222.0)	(60, 31449.0)	(62, 33029.0)	(64, 32751.0)	(66, 34572.0)	(68, 34810.0)	(70, 35622.0)	(72, 34177.0)	(74, 44190.0)	(76, 45517.0)	(78, 48091.0)	(80, 45927.0)	(82, 45716.0)	(84, 45983.0)	(86, 44605.0)	(88, 47036.0)	(90, 45698.0)	(92, 37203.0)	(94, 34944.0)	(96, 38626.0)	(98, 125282.0)	(100, 776876.0)	
PM2497_R1_paired	(50, 109568.0)	(52, 112679.0)	(54, 108616.0)	(56, 119504.0)	(58, 142383.0)	(60, 158326.0)	(62, 170638.0)	(64, 191652.0)	(66, 202552.0)	(68, 244606.0)	(70, 292444.0)	(72, 329037.0)	(74, 402151.0)	(76, 469205.0)	(78, 535112.0)	(80, 578764.0)	(82, 633370.0)	(84, 650927.0)	(86, 692383.0)	(88, 731716.0)	(90, 741165.0)	(92, 771353.0)	(94, 737599.0)	(96, 895519.0)	(98, 2743130.0)	(100, 20216901.0)	
PM2497_R1_unpaired	(50, 61057.0)	(52, 59088.0)	(54, 57997.0)	(56, 58915.0)	(58, 66501.0)	(60, 76030.0)	(62, 77757.0)	(64, 85583.0)	(66, 86307.0)	(68, 96818.0)	(70, 92897.0)	(72, 134572.0)	(74, 106289.0)	(76, 92409.0)	(78, 67190.0)	(80, 68470.0)	(82, 71341.0)	(84, 68402.0)	(86, 66216.0)	(88, 66524.0)	(90, 66763.0)	(92, 54020.0)	(94, 53003.0)	(96, 66482.0)	(98, 229403.0)	(100, 1483058.0)	
PM2497_R2_paired	(50, 90191.0)	(52, 92771.0)	(54, 87158.0)	(56, 93590.0)	(58, 115788.0)	(60, 138256.0)	(62, 153678.0)	(64, 165872.0)	(66, 186180.0)	(68, 223228.0)	(70, 268123.0)	(72, 287955.0)	(74, 379684.0)	(76, 439237.0)	(78, 505012.0)	(80, 545602.0)	(82, 587868.0)	(84, 625452.0)	(86, 672488.0)	(88, 714632.0)	(90, 755500.0)	(92, 766074.0)	(94, 744036.0)	(96, 865710.0)	(98, 2727683.0)	(100, 20749532.0)	
PM2497_R2_unpaired	(50, 34867.0)	(52, 34177.0)	(54, 33677.0)	(56, 31966.0)	(58, 31966.0)	(60, 33484.0)	(62, 33913.0)	(64, 33475.0)	(66, 34611.0)	(68, 36195.0)	(70, 40332.0)	(72, 40281.0)	(74, 46204.0)	(76, 52601.0)	(78, 57419.0)	(80, 60871.0)	(82, 61575.0)	(84, 62980.0)	(86, 66661.0)	(88, 68581.0)	(90, 70219.0)	(92, 66032.0)	(94, 65138.0)	(96, 73807.0)	(98, 238242.0)	(100, 1375821.0)	
PM2524_R1_paired	(50, 122436.0)	(52, 119138.0)	(54, 121831.0)	(56, 128550.0)	(58, 138335.0)	(60, 137956.0)	(62, 143240.0)	(64, 147316.0)	(66, 154269.0)	(68, 194663.0)	(70, 216525.0)	(72, 262136.0)	(74, 333243.0)	(76, 364499.0)	(78, 400368.0)	(80, 418528.0)	(82, 464812.0)	(84, 485100.0)	(86, 526123.0)	(88, 608082.0)	(90, 617250.0)	(92, 628512.0)	(94, 641658.0)	(96, 846248.0)	(98, 2618798.0)	(100, 21713603.0)	
PM2524_R1_unpaired	(50, 60243.0)	(52, 56566.0)	(54, 55547.0)	(56, 55650.0)	(58, 56139.0)	(60, 56447.0)	(62, 59720.0)	(64, 61542.0)	(66, 62531.0)	(68, 73778.0)	(70, 73843.0)	(72, 103330.0)	(74, 93174.0)	(76, 82349.0)	(78, 64050.0)	(80, 68046.0)	(82, 75945.0)	(84, 72519.0)	(86, 81648.0)	(88, 84250.0)	(90, 85758.0)	(92, 45708.0)	(94, 46396.0)	(96, 70847.0)	(98, 331773.0)	(100, 2675288.0)	
PM2524_R2_paired	(50, 99572.0)	(52, 96220.0)	(54, 84365.0)	(56, 89400.0)	(58, 99321.0)	(60, 105909.0)	(62, 120819.0)	(64, 127442.0)	(66, 132467.0)	(68, 158485.0)	(70, 182876.0)	(72, 196727.0)	(74, 302608.0)	(76, 329800.0)	(78, 380389.0)	(80, 385959.0)	(82, 421290.0)	(84, 456018.0)	(86, 498847.0)	(88, 582829.0)	(90, 640418.0)	(92, 629571.0)	(94, 657216.0)	(96, 840228.0)	(98, 3028779.0)	(100, 21905664.0)	
PM2524_R2_unpaired	(50, 34534.0)	(52, 31954.0)	(54, 29745.0)	(56, 28890.0)	(58, 28228.0)	(60, 28130.0)	(62, 30063.0)	(64, 29083.0)	(66, 28657.0)	(68, 28604.0)	(70, 30313.0)	(72, 30047.0)	(74, 37094.0)	(76, 41383.0)	(78, 44700.0)	(80, 44716.0)	(82, 46082.0)	(84, 49140.0)	(86, 52585.0)	(88, 58416.0)	(90, 61640.0)	(92, 54496.0)	(94, 57863.0)	(96, 70460.0)	(98, 275893.0)	(100, 1615787.0)	
PM2528_R1_paired	(50, 8441.0)	(51, 9693.0)	(52, 9092.0)	(53, 8968.0)	(54, 9413.0)	(55, 8700.0)	(56, 9636.0)	(57, 8861.0)	(58, 11419.0)	(59, 10579.0)	(60, 10596.0)	(61, 11673.0)	(62, 12457.0)	(63, 13127.0)	(64, 13003.0)	(65, 12843.0)	(66, 15843.0)	(67, 14757.0)	(68, 15724.0)	(69, 14866.0)	(70, 15311.0)	(71, 16128.0)	(72, 23552.0)	(73, 88951.0)	(74, 183760.0)	(75, 605668.0)	(76, 1574046.0)
