Sample	0	1	2	3	4	5	6	7	8	9	10	11
PM2528_R2_unpaired	(30.0, 19.0)	(31.0, 585.0)	(32.0, 6246.0)	(33.0, 28515.0)	(34.0, 61928.0)	(35.0, 68153.0)	(36.0, 38940.0)	(37.0, 11374.0)				
PM2539_R1_paired	(30.0, 7.0)	(31.0, 83.0)	(32.0, 1012.0)	(33.0, 6555.0)	(34.0, 33250.0)	(35.0, 123165.0)	(36.0, 406027.0)	(37.0, 982396.0)	(38.0, 2277806.0)	(39.0, 9167278.0)	(40.0, 8218611.0)	
PM2539_R1_unpaired	(30.0, 10.0)	(31.0, 147.0)	(32.0, 1848.0)	(33.0, 10138.0)	(34.0, 41582.0)	(35.0, 116417.0)	(36.0, 270565.0)	(37.0, 462251.0)	(38.0, 775820.0)	(39.0, 1943430.0)	(40.0, 1377649.0)	
PM2539_R2_paired	(30.0, 2.0)	(31.0, 40.0)	(32.0, 416.0)	(33.0, 2639.0)	(34.0, 13007.0)	(35.0, 50268.0)	(36.0, 179226.0)	(37.0, 497794.0)	(38.0, 1584300.0)	(39.0, 7603792.0)	(40.0, 11284706.0)	
PM2539_R2_unpaired	(29.0, 1.0)	(30.0, 4.0)	(31.0, 89.0)	(32.0, 807.0)	(33.0, 4824.0)	(34.0, 20287.0)	(35.0, 63954.0)	(36.0, 170176.0)	(37.0, 309604.0)	(38.0, 520207.0)	(39.0, 820521.0)	(40.0, 378112.0)
PM2577_R1_paired	(30.0, 14.0)	(31.0, 213.0)	(32.0, 2687.0)	(33.0, 18241.0)	(34.0, 92975.0)	(35.0, 356345.0)	(36.0, 1207998.0)	(37.0, 2948390.0)	(38.0, 7375207.0)	(39.0, 37131413.0)	(40.0, 31664359.0)	
PM2577_R1_unpaired	(30.0, 19.0)	(31.0, 514.0)	(32.0, 5404.0)	(33.0, 30467.0)	(34.0, 115876.0)	(35.0, 311884.0)	(36.0, 679278.0)	(37.0, 1022477.0)	(38.0, 1453122.0)	(39.0, 2316726.0)	(40.0, 951212.0)	
PM2577_R2_paired	(30.0, 9.0)	(31.0, 126.0)	(32.0, 1530.0)	(33.0, 10279.0)	(34.0, 52808.0)	(35.0, 213368.0)	(36.0, 772895.0)	(37.0, 2058024.0)	(38.0, 5876730.0)	(39.0, 31667460.0)	(40.0, 40144613.0)	
PM2577_R2_unpaired	(30.0, 22.0)	(31.0, 389.0)	(32.0, 3610.0)	(33.0, 20254.0)	(34.0, 84278.0)	(35.0, 254047.0)	(36.0, 634910.0)	(37.0, 1037768.0)	(38.0, 1474560.0)	(39.0, 1921200.0)	(40.0, 553423.0)	
PM2601_R1_paired	(30.0, 3.0)	(31.0, 119.0)	(32.0, 1250.0)	(33.0, 8657.0)	(34.0, 45272.0)	(35.0, 174683.0)	(36.0, 589404.0)	(37.0, 1428358.0)	(38.0, 3520052.0)	(39.0, 16339128.0)	(40.0, 12456479.0)	
PM2601_R1_unpaired	(30.0, 9.0)	(31.0, 209.0)	(32.0, 2287.0)	(33.0, 12648.0)	(34.0, 49433.0)	(35.0, 132931.0)	(36.0, 296404.0)	(37.0, 459131.0)	(38.0, 687850.0)	(39.0, 1201918.0)	(40.0, 498722.0)	
PM2601_R2_paired	(30.0, 3.0)	(31.0, 66.0)	(32.0, 649.0)	(33.0, 4336.0)	(34.0, 23006.0)	(35.0, 93186.0)	(36.0, 335222.0)	(37.0, 892332.0)	(38.0, 2573798.0)	(39.0, 14211227.0)	(40.0, 16429580.0)	
PM2601_R2_unpaired	(30.0, 5.0)	(31.0, 160.0)	(32.0, 1519.0)	(33.0, 8612.0)	(34.0, 37149.0)	(35.0, 114750.0)	(36.0, 293235.0)	(37.0, 492936.0)	(38.0, 725698.0)	(39.0, 990864.0)	(40.0, 271799.0)	
