Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
PM2497_R1_paired	(1.0, 17.7193534963961)	(2.0, 2.4927407876851415)	(3.0, 1.0486308620684348)	(4.0, 0.6543824475913687)	(5.0, 0.4619544172549314)	(6.0, 0.34237101448472274)	(7.0, 0.28283233083563497)	(8.0, 0.24009717296470914)	(9.0, 0.21692636606858748)	('>10', 2.96903518121393)	('>50', 1.2944877208629102)	('>100', 4.564074942736193)	('>500', 3.3418349219878603)	('>1k', 13.671942738392556)	('>5k', 9.432452101234603)	('>10k+', 41.26688349822237)
PM2497_R1_unpaired	(1.0, 19.66617926199234)	(2.0, 2.0500030464380736)	(3.0, 0.9814562194774001)	(4.0, 0.68715201335202)	(5.0, 0.5223079306497932)	(6.0, 0.4376156293002443)	(7.0, 0.39419338445777297)	(8.0, 0.356432962600398)	(9.0, 0.31936070202536504)	('>10', 5.750264870373665)	('>50', 3.6473220727727664)	('>100', 16.05745775190533)	('>500', 10.39308111133533)	('>1k', 26.87774045345125)	('>5k', 7.054809937516011)	('>10k+', 4.80462265235225)
PM2497_R2_paired	(1.0, 18.476389872253083)	(2.0, 2.3884405377091333)	(3.0, 0.9116637065207196)	(4.0, 0.5643543133782635)	(5.0, 0.38190542016125845)	(6.0, 0.305712653848037)	(7.0, 0.2229320121381105)	(8.0, 0.2023475660657571)	(9.0, 0.16277339915416802)	('>10', 2.1763815367148354)	('>50', 1.0225115696408054)	('>100', 4.43373117040343)	('>500', 4.1979334320123405)	('>1k', 21.09555829847674)	('>5k', 11.435034555322618)	('>10k+', 32.02232995620074)
PM2497_R2_unpaired	(1.0, 24.089506714860622)	(2.0, 1.9126009226585667)	(3.0, 0.9226038098344365)	(4.0, 0.6195043717674691)	(5.0, 0.46789349188998824)	(6.0, 0.3856736686625387)	(7.0, 0.3250415730120983)	(8.0, 0.3047119879122107)	(9.0, 0.2527451515259425)	('>10', 5.870017229095013)	('>50', 4.706950287401516)	('>100', 21.732566735688476)	('>500', 12.464347486096285)	('>1k', 17.463887844217023)	('>5k', 3.410711082796207)	('>10k+', 5.0712376425816075)
PM2524_R1_paired	(1.0, 17.07497243174916)	(2.0, 2.323711017885506)	(3.0, 0.9081774246015386)	(4.0, 0.5723260230474895)	(5.0, 0.3670574412178908)	(6.0, 0.31155816559650873)	(7.0, 0.23498465227089715)	(8.0, 0.21062016073644316)	(9.0, 0.1810934220603711)	('>10', 2.5293415824411922)	('>50', 1.2423391604523837)	('>100', 3.9350732554939225)	('>500', 2.491143073916788)	('>1k', 8.891327214859391)	('>5k', 6.281290059945562)	('>10k+', 52.44498491372494)
PM2524_R1_unpaired	(1.0, 20.32439921045342)	(2.0, 2.0055691835048477)	(3.0, 0.853390025185279)	(4.0, 0.5596176376177957)	(5.0, 0.4665559431714179)	(6.0, 0.3674478527068523)	(7.0, 0.31773164434396817)	(8.0, 0.2758592430817464)	(9.0, 0.25063512490229667)	('>10', 4.642515532850223)	('>50', 2.57993884220064)	('>100', 8.891164275374637)	('>500', 5.776345804726132)	('>1k', 21.498038994189418)	('>5k', 8.89479077819189)	('>10k+', 22.295999907499446)
PM2524_R2_paired	(1.0, 17.651572872231213)	(2.0, 2.1280164805059685)	(3.0, 0.7521582638523097)	(4.0, 0.4423997093030295)	(5.0, 0.2925047573150768)	(6.0, 0.2395701111622448)	(7.0, 0.20330256454871068)	(8.0, 0.16548509077684942)	(9.0, 0.14979178976792581)	('>10', 2.089060966787214)	('>50', 1.072584953226205)	('>100', 4.030076690686431)	('>500', 2.835256904047866)	('>1k', 12.826357292629439)	('>5k', 8.636007243348292)	('>10k+', 46.48585430981122)
PM2524_R2_unpaired	(1.0, 21.869682480033482)	(2.0, 1.5814704623017852)	(3.0, 0.7595846478024494)	(4.0, 0.5479877342055683)	(5.0, 0.44451531839347663)	(6.0, 0.35842181355873387)	(7.0, 0.3199301919125274)	(8.0, 0.2787294377144174)	(9.0, 0.254662321730171)	('>10', 5.005254347634594)	('>50', 2.948136831483831)	('>100', 12.693485876233618)	('>500', 8.627806270764708)	('>1k', 20.038977846596048)	('>5k', 9.536502855865074)	('>10k+', 14.73485156376949)
PM2528_R1_paired	(1.0, 2.750522633619724)	(2.0, 0.7532407745814165)	(3.0, 0.4955134578219022)	(4.0, 0.3617807177536681)	(5.0, 0.2839397355656503)	(6.0, 0.2596020439457374)	(7.0, 0.2071992664938529)	(8.0, 0.18768526150131015)	(9.0, 0.1558927814572798)	('>10', 3.284272817789865)	('>50', 2.4249622795882866)	('>100', 11.272992191244482)	('>500', 6.902074331397966)	('>1k', 27.51127544683681)	('>5k', 14.709028422393954)	('>10k+', 28.440017838008107)
PM2528_R1_unpaired	(1.0, 5.164417217161109)	(2.0, 1.5347333180002163)	(3.0, 0.874596934493573)	(4.0, 0.6860300579865992)	(5.0, 0.49883402306974084)	(6.0, 0.49167518365469415)	(7.0, 0.4200867895042275)	(8.0, 0.34727986949588063)	(9.0, 0.3207769320869845)	('>10', 7.445954570309704)	('>50', 5.425029435015254)	('>100', 19.92305009207486)	('>500', 12.319296423169659)	('>1k', 26.842906123244752)	('>5k', 8.309280140617883)	('>10k+', 9.396052890114861)
PM2528_R2_paired	(1.0, 3.4524985405536746)	(2.0, 0.8975151459474591)	(3.0, 0.48433627105438054)	(4.0, 0.32188203767169804)	(5.0, 0.22991135618278435)	(6.0, 0.18203070560888102)	(7.0, 0.15374524942161416)	(8.0, 0.13710799437439422)	(9.0, 0.11872704523518306)	('>10', 3.130827432308262)	('>50', 3.0161566203821297)	('>100', 16.53814022441737)	('>500', 12.656507660868089)	('>1k', 37.56883290842643)	('>5k', 12.424827307900694)	('>10k+', 8.686953499646952)
PM2528_R2_unpaired	(1.0, 8.64432703003337)	(2.0, 1.9095291064145345)	(3.0, 1.10678531701891)	(4.0, 0.96403411197627)	(5.0, 0.7971820541342233)	(6.0, 0.8509454949944383)	(7.0, 0.8337968112717834)	(8.0, 0.67853170189099)	(9.0, 0.6924360400444939)	('>10', 18.550241008527994)	('>50', 13.664720059325175)	('>100', 33.02465702632555)	('>500', 8.368557656655543)	('>1k', 9.914256581386725)	('>5k', 0.0)	('>10k+', 0.0)
PM2539_R1_paired	(1.0, 13.630401685874544)	(2.0, 2.329344237800132)	(3.0, 0.7831691747362118)	(4.0, 0.4619090451448463)	(5.0, 0.34260768677017805)	(6.0, 0.27131326813577766)	(7.0, 0.23188337229307524)	(8.0, 0.19483393746729039)	(9.0, 0.1855448306515853)	('>10', 2.778394838082927)	('>50', 1.4992726240912382)	('>100', 5.257064425648295)	('>500', 3.4480771216435913)	('>1k', 13.033902504816655)	('>5k', 10.177963188743142)	('>10k+', 45.37431805810052)
