Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
PM3153_R1_unpaired	(1.0, 14.732358814803902)	(2.0, 1.8872673489256142)	(3.0, 1.0850123389425814)	(4.0, 0.7703655756559133)	(5.0, 0.6423284542932127)	(6.0, 0.565854696343423)	(7.0, 0.4917070633839862)	(8.0, 0.45355616346740785)	(9.0, 0.4265881396175456)	('>10', 11.425339485418073)	('>50', 9.107982065908383)	('>100', 31.208381056358984)	('>500', 14.374944872826537)	('>1k', 11.364663861451307)	('>5k', 1.4636500626031195)	('>10k+', 0.0)
PM3153_R2_paired	(1.0, 12.01417081620173)	(2.0, 1.0395219106448597)	(3.0, 0.44683767416683706)	(4.0, 0.2706524703766375)	(5.0, 0.19171785686180542)	(6.0, 0.1622272025629281)	(7.0, 0.12190162653208743)	(8.0, 0.11542677939728559)	(9.0, 0.10654553408360376)	('>10', 3.6186106080336002)	('>50', 4.122109945483405)	('>100', 24.280024037738947)	('>500', 17.554871252867844)	('>1k', 29.73806305824419)	('>5k', 4.753640053675546)	('>10k+', 1.4636791731287018)
PM3153_R2_unpaired	(1.0, 17.755128510880436)	(2.0, 1.9179354579572983)	(3.0, 1.3957750191416989)	(4.0, 1.1447363466341989)	(5.0, 1.0941102143451866)	(6.0, 1.0644039714317992)	(7.0, 1.0162882258678616)	(8.0, 1.1313476174337989)	(9.0, 0.9790508227792492)	('>10', 27.361960109954936)	('>50', 15.967733162627034)	('>100', 25.641090009916027)	('>500', 2.46394457066111)	('>1k', 1.0664959603693616)	('>5k', 0.0)	('>10k+', 0.0)
PM3183_R1_paired	(1.0, 3.031923809842107)	(2.0, 0.8777158340915293)	(3.0, 0.5502411619580576)	(4.0, 0.4118758406839055)	(5.0, 0.330104854558856)	(6.0, 0.2746275654148861)	(7.0, 0.2305242402910548)	(8.0, 0.21784017053248592)	(9.0, 0.1857227094924399)	('>10', 3.720505305696923)	('>50', 2.9528281662723455)	('>100', 13.417728765949846)	('>500', 10.103811898201911)	('>1k', 30.877641707651087)	('>5k', 14.177298961706104)	('>10k+', 18.639609007656453)
PM3183_R1_unpaired	(1.0, 5.951885315963967)	(2.0, 1.7387491949448484)	(3.0, 1.0313202564621076)	(4.0, 0.72799076926737)	(5.0, 0.6109072865350595)	(6.0, 0.530189355768953)	(7.0, 0.4401251382825604)	(8.0, 0.43366770382127184)	(9.0, 0.3762305236129686)	('>10', 8.930631859962038)	('>50', 7.201568816709121)	('>100', 24.566459745543096)	('>500', 14.153506811743693)	('>1k', 25.412383659971894)	('>5k', 4.8532717951158)	('>10k+', 3.041111766295251)
PM3183_R2_paired	(1.0, 3.673534243540635)	(2.0, 0.9642972234046209)	(3.0, 0.4978704325542797)	(4.0, 0.32362356690941363)	(5.0, 0.23714388278919574)	(6.0, 0.20049970597450484)	(7.0, 0.1559102797347737)	(8.0, 0.13564488643579098)	(9.0, 0.12571208010639667)	('>10', 3.4765210153127306)	('>50', 3.355542538222686)	('>100', 19.566348068090882)	('>500', 15.331674569667353)	('>1k', 37.435815854893754)	('>5k', 9.441404016262357)	('>10k+', 5.078457636100632)
PM3183_R2_unpaired	(1.0, 8.786333870778876)	(2.0, 1.9149875246579413)	(3.0, 1.2011457498266063)	(4.0, 0.9998288581233843)	(5.0, 0.8692205838640233)	(6.0, 0.8403966888550609)	(7.0, 0.8354425819003953)	(8.0, 0.7746421783658654)	(9.0, 0.6931246002936434)	('>10', 20.71041893729902)	('>50', 15.088858663832315)	('>100', 33.88474044983291)	('>500', 5.629216620578459)	('>1k', 7.771642691791496)	('>5k', 0.0)	('>10k+', 0.0)
Undetermined_R1_paired	(1.0, 12.059825729498897)	(2.0, 1.3680826014506113)	(3.0, 0.9865520571575052)	(4.0, 0.9931589079152054)	(5.0, 1.1002271080104251)	(6.0, 1.1627034495452966)	(7.0, 1.1427381947226467)	(8.0, 1.0301094286483399)	(9.0, 0.9298996511939914)	('>10', 9.792172147486836)	('>50', 6.167819272167384)	('>100', 24.1749704927338)	('>500', 13.393150482311222)	('>1k', 20.13943141051255)	('>5k', 3.926843060926931)	('>10k+', 1.632316005718355)
Undetermined_R1_unpaired	(1.0, 14.845266540081706)	(2.0, 3.440809416952088)	(3.0, 3.082555804889571)	(4.0, 2.7666990699942158)	(5.0, 2.328799895824816)	(6.0, 1.7479626786346993)	(7.0, 1.3079436606069414)	(8.0, 0.9666487994112891)	(9.0, 0.7713203296054365)	('>10', 15.557231241653117)	('>50', 9.595927477113257)	('>100', 28.178175904643364)	('>500', 5.032206484905197)	('>1k', 8.260728681184569)	('>5k', 2.117724014499732)	('>10k+', 0.0)
Undetermined_R2_paired	(1.0, 12.25217970499069)	(2.0, 1.0692885786251458)	(3.0, 0.7404113323542456)	(4.0, 0.8354812297806549)	(5.0, 0.9569923958028196)	(6.0, 1.025568280878094)	(7.0, 1.0034689854761603)	(8.0, 1.0095624264932492)	(9.0, 0.8744821895419903)	('>10', 11.073681816793254)	('>50', 9.18610849061868)	('>100', 32.818210347414364)	('>500', 13.810438031684768)	('>1k', 12.116030792202809)	('>5k', 1.2280953973430586)	('>10k+', 0.0)
Undetermined_R2_unpaired	(1.0, 23.499076450097313)	(2.0, 4.385932289535994)	(3.0, 3.0309792108297073)	(4.0, 2.6776748856409687)	(5.0, 2.516518526782947)	(6.0, 2.365279482316189)	(7.0, 2.2128007735505224)	(8.0, 2.0826360221651976)	(9.0, 1.8743724199486778)	('>10', 34.83456679931074)	('>50', 10.414419775124896)	('>100', 9.484671550944004)	('>500', 0.6210718137528357)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
