Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
PM2524_R2_paired - polyg	(1, 2.512636307948532)	(2, 2.59298166488543)	(3, 2.596001335536126)	(4, 2.596019766893099)	(5, 2.5961457144990794)	(6, 2.596231727498285)	(7, 2.596879896885159)	(8, 2.5988397645099246)	(9, 2.598950352651761)	(10, 2.59912852243583)	(12, 2.5994295679330515)	(14, 2.5995370841820593)	(16, 2.5996446004310663)	(18, 2.5997812996619474)	(20, 2.5998550250898385)	(22, 2.5999656132316744)	(24, 2.6000669856950247)	(26, 2.600197541140248)	(28, 2.6002497633183372)	(30, 2.600404893906191)	(32, 2.6005799917974315)	(34, 2.6007781288848886)	(36, 2.60116672332773)	(38, 2.6017273437689834)	(40, 2.60219119958613)	(42, 2.6024231274947036)	(44, 2.6027963624734007)	(46, 2.6029284538650383)	(48, 2.6030697609351625)	(50, 2.603226427469431)	(52, 2.6035290089130667)	(54, 2.603814694946143)	(56, 2.6040174398728433)	(58, 2.6042094331746424)	(60, 2.604415249994171)	(62, 2.6046272105993573)	(64, 2.6046763608846177)	(66, 2.6047654457766525)	(68, 2.6048698901328313)	(70, 2.605009661256541)	(72, 2.6051647918443948)	(74, 2.605263092414916)	(76, 2.6053444975748787)	(78, 2.6053982556993827)	(80, 2.6055410987159213)	(82, 2.6057300201248914)	(84, 2.605794529874296)	(86, 2.605888222605574)	(88, 2.6059696277655364)	(90, 2.6059880591225095)
PM2524_R2_unpaired - polya	(1, 0.0015687625217752953)	(2, 0.0018825150261303544)	(3, 0.0020916833623670604)	(4, 0.0022311289198581976)	(5, 0.0023705744773493353)	(6, 0.0024402972560949037)	(7, 0.0026146042029588255)	(8, 0.0028237725391955315)	(9, 0.0034861389372784343)	(10, 0.004078782556615768)	(12, 0.004706287565325886)	(14, 0.005508099520899926)	(16, 0.006257619392414789)	(18, 0.007111723432048005)	(20, 0.008384164144154634)	(22, 0.009691466245634047)	(24, 0.010911614873681499)	(26, 0.011940025860178637)	(28, 0.013229897266971657)	(30, 0.014641783536569423)	(32, 0.016506867868013385)	(34, 0.01807563038978868)	(36, 0.019574670132818408)	(38, 0.021474615853635155)	(40, 0.023880051720357273)	(42, 0.026372641060511355)	(44, 0.029126690820961317)	(46, 0.03212477030702077)	(48, 0.03444305270031093)	(50, 0.0376154391332343)	(52, 0.040840117650216855)	(54, 0.04416938033531776)	(56, 0.047760103440714546)	(58, 0.051159088904561015)	(60, 0.05494154965150812)	(62, 0.05856713414627769)	(64, 0.06250647114540232)	(66, 0.0670210210691779)	(68, 0.07179703141324935)	(70, 0.07629415064233852)	(72, 0.0810527302917236)	(74, 0.08656082981262353)	(76, 0.09097079556828075)	(78, 0.09541562271331075)	(80, 0.09975586569022239)	(82, 0.10446215325554828)	(84, 0.10923816359961973)	(86, 0.11455452547896935)	(88, 0.11879018428776264)	(90, 0.11988831805300534)
PM2524_R2_unpaired - polyg	(1, 4.324067292242678)	(2, 4.383366515565784)	(3, 4.393650625430756)	(4, 4.393755209598875)	(5, 4.393894655156365)	(6, 4.394173546271348)	(7, 4.395358833510023)	(8, 4.398600942721691)	(9, 4.3988798338366735)	(10, 4.399158724951656)	(12, 4.399472477456011)	(14, 4.399629353708189)	(16, 4.399768799265679)	(18, 4.39996053690723)	(20, 4.400047690380662)	(22, 4.400099982464721)	(24, 4.400169705243467)	(26, 4.400239428022212)	(28, 4.400326581495644)	(30, 4.400518319137195)	(32, 4.400797210252177)	(34, 4.400936655809668)	(36, 4.401302700398082)	(38, 4.401738467765242)	(40, 4.402139373743029)	(42, 4.40247055694207)	(44, 4.4030980619507805)	(46, 4.403272368897644)	(48, 4.4038127204329225)	(50, 4.404248487800082)	(52, 4.4049980076715975)	(54, 4.405486067122816)	(56, 4.405834681016545)	(58, 4.406183294910272)	(60, 4.406636492972119)	(62, 4.407089691033964)	(64, 4.407455735622379)	(66, 4.407821780210793)	(68, 4.408135532715148)	(70, 4.40860616147168)	(72, 4.409024498144154)	(74, 4.409338250648509)	(76, 4.409495126900687)	(78, 4.409774018015669)	(80, 4.410227216077515)	(82, 4.410889582475598)	(84, 4.411063889422461)	(86, 4.411342780537444)	(88, 4.411569379568367)	(90, 4.411639102347113)
PM2539_R2_paired - polyg	(1, 4.158805138905713)	(2, 4.289464790803627)	(3, 4.294814478942732)	(4, 4.294847472614075)	(5, 4.295790148938146)	(6, 4.296808239368143)	(7, 4.300051045922949)	(8, 4.303826464600855)	(9, 4.305598696090109)	(10, 4.307090481372952)	(12, 4.309546153197157)	(14, 4.310526536574192)	(16, 4.311532843550138)	(18, 4.312565074124995)	(20, 4.3130364122870315)	(22, 4.3139767319202935)	(24, 4.314773293414133)	(26, 4.315195141069156)	(28, 4.315369536189108)	(30, 4.315685332757672)	(32, 4.315937498674362)	(34, 4.316151957538088)	(36, 4.31644418719855)	(38, 4.316889601761673)	(40, 4.317419857193964)	(42, 4.317648456202551)	(44, 4.317994889751647)	(46, 4.318086800693244)	(48, 4.318235272214285)	(50, 4.318447374387201)	(52, 4.318772597719006)	(54, 4.3190318337081255)	(56, 4.319187375301597)	(58, 4.319328776750209)	(60, 4.319505528560971)	(62, 4.319691707134975)	(64, 4.319760051168471)	(66, 4.319818968438725)	(68, 4.319863745564119)	(70, 4.319922662834373)	(72, 4.319991006867868)	(74, 4.32001928715759)	(76, 4.320054637519743)	(78, 4.320085274500276)	(80, 4.320120624862428)	(82, 4.320170115369442)	(84, 4.320198395659164)	(86, 4.320219605876456)	(88, 4.320236102712127)	(90, 4.320243172784558)
PM2539_R2_unpaired - polyg	(1, 7.672510449683778)	(2, 7.803857927995715)	(3, 7.820811627791134)	(4, 7.821117493509092)	(5, 7.822559431893755)	(6, 7.825268528252816)	(7, 7.832478220176126)	(8, 7.839950082714829)	(9, 7.842397008458498)	(10, 7.8453682754329535)	(12, 7.849694090586938)	(14, 7.851791455510083)	(16, 7.85382327777938)	(18, 7.855876947599959)	(20, 7.857034867817945)	(22, 7.859547336215462)	(24, 7.861601006036041)	(26, 7.863458047895076)	(28, 7.864113474433559)	(30, 7.865555412818221)	(32, 7.866538552625944)	(34, 7.867062893856731)	(36, 7.86784940570291)	(38, 7.87023078879273)	(40, 7.8730272753569235)	(42, 7.874556603946717)	(44, 7.877134614998082)	(46, 7.877702651331433)	(48, 7.878642096036592)	(50, 7.879778168703296)	(52, 7.881919228729005)	(54, 7.8835577950752125)	(56, 7.884431697126523)	(58, 7.885130818767571)	(60, 7.886245043882992)	(62, 7.887271878793281)	(64, 7.887359268998412)	(66, 7.88757774451124)	(68, 7.887927305331764)	(70, 7.888102085742026)	(72, 7.888517189216398)	(74, 7.888713817177943)	(76, 7.8888667500369225)	(78, 7.8889541402420535)	(80, 7.88908522554975)	(82, 7.889281853511295)	(84, 7.889434786370274)	(86, 7.889587719229254)	(88, 7.889587719229254)	(90, 7.88971880453695)
PM2577_R1_unpaired - polyg	(1, 0.004457687470805414)	(2, 0.008450729993513846)	(3, 0.01722090338884437)	(4, 0.01905044287197623)	(5, 0.019457007201561093)	(6, 0.019587688593213366)	(7, 0.019703849830237614)	(8, 0.01989261184040201)	(9, 0.02024109555147475)	(10, 0.020647659881059606)	(12, 0.02125024629812288)	(14, 0.021685850936963798)	(16, 0.022215836580886918)	(18, 0.022673221451669882)	(20, 0.023137866399766865)	(22, 0.023718672584888092)	(24, 0.024263178383439242)	(26, 0.024865764800502514)	(28, 0.025490131449507833)	(30, 0.026339560495247626)	(32, 0.027181729463673407)	(34, 0.028328821679287828)	(36, 0.029374272812506035)	(38, 0.030412463868410226)	(40, 0.031319973532662145)	(42, 0.03225652350617012)	(44, 0.033817440128683415)	(46, 0.03528397574611451)	(48, 0.03705543461073425)	(50, 0.03918989734105477)	(52, 0.04274007514760826)	(54, 0.045636845995900385)	(56, 0.0489619614057194)	(58, 0.051336006687402416)	(60, 0.05319458647979034)	(62, 0.05512576704531842)	(64, 0.05699886699233438)	(66, 0.05957619443880982)	(68, 0.06208818118945912)	(70, 0.06559479853212853)	(72, 0.0684262286845945)	(74, 0.0708801348167317)	(76, 0.07712380130678488)	(78, 0.08623519833587412)	(80, 0.10164108239621465)	(82, 0.11093398135815427)	(84, 0.1182811795999378)	(86, 0.11983483614513707)	(88, 0.12091658766492536)	(90, 0.12179505701992122)
PM2577_R2_paired - polyg	(1, 0.35358865153849034)	(2, 0.36417309264274655)	(3, 0.3645208742084968)	(4, 0.3645468650016668)	(5, 0.36551099966259)	(6, 0.3659454172055734)	(7, 0.3667140020893132)	(8, 0.3671694597981961)	(9, 0.3678613099592437)	(10, 0.36864165258275094)	(12, 0.3713601657826455)	(14, 0.37241155524921077)	(16, 0.3730062493500754)	(18, 0.3738868421758096)	(20, 0.3743670530210448)	(22, 0.37484293206741837)	(24, 0.3756672115079509)	(26, 0.3764537424155462)	(28, 0.37693828505964305)	(30, 0.3784420380930471)	(32, 0.38058132790229715)	(34, 0.38222988678336234)	(36, 0.3841538243063472)	(38, 0.38670958563472524)	(40, 0.38904690053479396)	(42, 0.39103333972706844)	(44, 0.3952221892262915)	(46, 0.3965316301393297)	(48, 0.39748215057525915)	(50, 0.39834789151918193)	(52, 0.4000137775956937)	(54, 0.4019488540300371)	(56, 0.40290494392164583)	(58, 0.40395695221661987)	(60, 0.4053833516989228)	(62, 0.4068852482471005)	(64, 0.4070690402845165)	(66, 0.4073493695537066)	(68, 0.40775593981829367)	(70, 0.40926588113578577)	(72, 0.4111613525519654)	(74, 0.41206360437200784)	(76, 0.4122641047764617)	(78, 0.41252834450702286)	(80, 0.4136682264360476)	(82, 0.4155011961829377)	(84, 0.41628215763485366)	(86, 0.41694430403227845)	(88, 0.41724381698214164)	(90, 0.41732302701846913)
PM2577_R2_unpaired - polyg	(1, 1.0102330017690817)	(2, 1.0166329097975573)	(3, 1.0183540338887662)	(4, 1.0184877134298311)	(5, 1.0199247684962773)	(6, 1.0207769755705651)	(7, 1.0224479698338749)	(8, 1.0233503067360619)	(9, 1.0245534226056447)	(10, 1.0257064086473284)	(12, 1.0288896527189333)	(14, 1.0301011235598327)	(16, 1.0311454949744012)	(18, 1.032590905012164)	(20, 1.0332008179182721)	(22, 1.0339945401933441)	(24, 1.0350222016652795)	(26, 1.0357992139977183)	(28, 1.0364759666743588)	(30, 1.0385229346469131)	(32, 1.0412132354108414)	(34, 1.0428340998462517)	(36, 1.044713968392475)	(38, 1.0482397662880585)	(40, 1.0525425765160805)	(42, 1.0561101492682465)	(44, 1.0639805322484346)	(46, 1.0669381920944927)	(48, 1.0696201378871046)	(50, 1.072352213507616)	(52, 1.0767552833914364)	(54, 1.082219434632459)	(56, 1.084918090367704)	(58, 1.0873995168487185)	(60, 1.090908604801669)	(62, 1.0944344026972521)	(64, 1.0949858308041442)	(66, 1.0958631027923817)	(68, 1.0970829286045978)	(70, 1.1006755662707135)	(72, 1.106950149729441)	(74, 1.1098910996328657)	(76, 1.1106514020226717)	(78, 1.1119714874906863)	(80, 1.1151046017343917)	(82, 1.1225823010627023)	(84, 1.125932644560638)	(86, 1.1291994383454083)	(88, 1.1305278787847395)	(90, 1.1308954975226675)
PM2601_R1_unpaired - polyg	(1, 0.013347131354326835)	(2, 0.025048316016976595)	(3, 0.05189221024305545)	(4, 0.058206660278398416)	(5, 0.05949349132825504)	(6, 0.05982268066659045)	(7, 0.05997231218401564)	(8, 0.06018179630841091)	(9, 0.060630690860686474)	(10, 0.06124418008212974)	(12, 0.06188759560705806)	(14, 0.06232152700759111)	(16, 0.06323427926388475)	(18, 0.06383280533358551)	(20, 0.06450614716199886)	(22, 0.06526926790086732)	(24, 0.0658977202740531)	(26, 0.06661595155769402)	(28, 0.06796263521452073)	(30, 0.06932428202308993)	(32, 0.07059614992120404)	(34, 0.07216728085416853)	(36, 0.0738132275458456)	(38, 0.07502524283698964)	(40, 0.07608762661070848)	(42, 0.07731460505359501)	(44, 0.07934959369057759)	(46, 0.0817287348176381)	(48, 0.0838834286685608)	(50, 0.08711546944494489)	(52, 0.09353466154248548)	(54, 0.09869694889365449)	(56, 0.10355997320997312)	(58, 0.10722594538689025)	(60, 0.10976968118311844)	(62, 0.11220867491714903)	(64, 0.11512648950694021)	(66, 0.11958550872621082)	(68, 0.12405949109722397)	(70, 0.1305834252569622)	(72, 0.13552126533199343)	(74, 0.13941168478504834)	(76, 0.15142709563429102)	(78, 0.16908361469046326)	(80, 0.19775301342912943)	(82, 0.2149905642365112)	(84, 0.226751601506131)	(86, 0.22932526360584427)	(88, 0.2310160997527489)	(90, 0.23210840982995276)
PM2601_R2_paired - polyg	(1, 0.6830490225138409)	(2, 0.7011809166371196)	(3, 0.7017624565635243)	(4, 0.7018087482989596)	(5, 0.7048003517014599)	(6, 0.7063279789708219)	(7, 0.7086541386764411)	(8, 0.7097651403268862)	(9, 0.7118598413553294)	(10, 0.7144796642576159)	(12, 0.7225358728400746)	(14, 0.7254927574409986)	(16, 0.7273603396424628)	(18, 0.7301031249669991)	(20, 0.7314195461934379)	(22, 0.7328835223265764)	(24, 0.7352906925692072)	(26, 0.737593706407109)	(28, 0.7389130208670124)	(30, 0.7432818033987103)	(32, 0.7484852837849743)	(34, 0.7516316751778362)	(36, 0.7545234620258044)	(38, 0.7605529605662404)	(40, 0.7674605554632132)	(42, 0.7727291336024329)	(44, 0.782826518394238)	(46, 0.7857313247927975)	(48, 0.7878433852220289)	(50, 0.7900436892719337)	(52, 0.7951502463371303)	(54, 0.8004781357623765)	(56, 0.8029214714233162)	(58, 0.8056006056116288)	(60, 0.8094081008511749)	(62, 0.813340005129703)	(64, 0.8137826698498021)	(66, 0.8145638428852713)	(68, 0.8156618249851252)	(70, 0.8192899397498596)	(72, 0.8238033839547927)	(74, 0.8256839857068481)	(76, 0.8262322534484088)	(78, 0.8268427257094606)	(80, 0.8295319862148998)	(82, 0.8341235477233797)	(84, 0.8357148261289651)	(86, 0.8373234639353386)	(88, 0.8381133166712018)	(90, 0.838299930229675)
PM2601_R2_unpaired - polyg	(1, 1.8565906875239)	(2, 1.8712668899764942)	(3, 1.8748082474128511)	(4, 1.87508065952334)	(5, 1.8787922745287526)	(6, 1.8812780350369647)	(7, 1.8857728348600329)	(8, 1.8885991105063562)	(9, 1.8917659012907908)	(10, 1.8950688981304697)	(12, 1.9027134629810671)	(14, 1.9053354295445235)	(16, 1.907140159776513)	(18, 1.910051564207364)	(20, 1.9116179338426758)	(22, 1.9135077928591933)	(24, 1.9156530382292942)	(26, 1.9175428972458115)	(28, 1.9188879320413508)	(30, 1.9228719591572523)	(32, 1.928201021068693)	(34, 1.9316231982067111)	(36, 1.9348070147480512)	(38, 1.941957832648387)	(40, 1.9505217883718848)	(42, 1.9572469623495818)	(44, 1.9720593708574206)	(46, 1.976707402492639)	(48, 1.9807254811223514)	(50, 1.9853735127575698)	(52, 1.9968148213981074)	(54, 2.0078134603591007)	(56, 2.0126317495633748)	(58, 2.018011888745532)	(60, 2.025622402082318)	(62, 2.0330967093638597)	(64, 2.033999074479855)	(66, 2.03582083046875)	(68, 2.0385960288443563)	(70, 2.046734340645215)	(72, 2.058975859860314)	(74, 2.0638792778491157)	(76, 2.0650200035617883)	(78, 2.066858785307589)	(80, 2.0736009850421917)	(82, 2.092618755505704)	(84, 2.097522173494506)	(86, 2.1035152399252635)	(88, 2.106307464057776)	(90, 2.107107674632337)
PM2616_R2_paired - polyg	(1, 8.376187279965228)	(2, 8.611313545382416)	(3, 8.622203930743616)	(4, 8.622294468389137)	(5, 8.622533746452298)	(6, 8.622870029135662)	(7, 8.624674315071394)	(8, 8.631438770586724)	(9, 8.631768586295408)	(10, 8.63212750339015)	(12, 8.632667495775934)	(14, 8.632822703168255)	(16, 8.632968210098555)	(18, 8.633116950516197)	(20, 8.633194554212357)	(22, 8.633356228579359)	(24, 8.63354700433242)	(26, 8.63367311033868)	(28, 8.633737780085482)	(30, 8.633863886091742)	(32, 8.633947956762583)	(34, 8.633999692560025)	(36, 8.634148432977664)	(38, 8.634348909192747)	(40, 8.634578486793888)	(42, 8.634678724901429)	(44, 8.634888901578531)	(46, 8.63499237317341)	(48, 8.635027941534151)	(50, 8.635176681951792)	(52, 8.635344823293474)	(54, 8.635480629761755)	(56, 8.635558233457914)	(58, 8.635645537616096)	(60, 8.635794278033737)	(62, 8.635910683577979)	(64, 8.635949485426057)	(66, 8.63598182029946)	(68, 8.63600445471084)	(70, 8.636043256558919)	(72, 8.636094992356359)	(74, 8.636117626767739)	(76, 8.636140261179118)	(78, 8.63616612907784)	(80, 8.63618876348922)	(82, 8.63627283416006)	(84, 8.63628576810942)	(86, 8.63630193554612)	(88, 8.63633103693218)	(90, 8.636347204368882)
PM2616_R2_unpaired - polyg	(1, 13.37163939954072)	(2, 13.59167981412246)	(3, 13.62416900285265)	(4, 13.624230535407062)	(5, 13.62453819817913)	(6, 13.625276588832088)	(7, 13.62761482589979)	(8, 13.640044401891265)	(9, 13.640659727435397)	(10, 13.641613482028802)	(12, 13.642536470345)	(14, 13.64309026333472)	(16, 13.643490224938406)	(18, 13.64410555048254)	(20, 13.644505512086225)	(22, 13.644967006244324)	(24, 13.645428500402423)	(26, 13.645920760837729)	(28, 13.646413021273034)	(30, 13.646874515431133)	(32, 13.647089879371581)	(34, 13.64755137352968)	(36, 13.648012867687779)	(38, 13.648874323449565)	(40, 13.649828078042969)	(42, 13.650566468695928)	(44, 13.651950951170226)	(46, 13.6522893802195)	(48, 13.652843173209218)	(50, 13.653489265030558)	(52, 13.654412253346756)	(54, 13.655273709108542)	(56, 13.655796735821053)	(58, 13.656073632315913)	(60, 13.65675049041446)	(62, 13.657150452018145)	(64, 13.657242750849765)	(66, 13.657365815958592)	(68, 13.657488881067419)	(70, 13.657611946176242)	(72, 13.65801190777993)	(74, 13.658165739165963)	(76, 13.65828880427479)	(78, 13.658534934492444)	(80, 13.658750298432889)	(82, 13.659119493759368)	(84, 13.659211792590987)	(86, 13.65936562397702)	(88, 13.659427156531434)	(90, 13.659488689085848)
PM2622_R2_paired - polyg	(1, 0.16075785331942835)	(2, 0.16494679498812695)	(3, 0.16514565745631937)	(4, 0.16514886491548378)	(5, 0.16515207237464816)	(6, 0.16515848729297694)	(7, 0.16521942901710043)	(8, 0.16533489754701863)	(9, 0.165338105006183)	(10, 0.16535895349075158)	(12, 0.16537338705699134)	(14, 0.16537819824573796)	(16, 0.1653958392711421)	(18, 0.16541027283738188)	(20, 0.16542310267403948)	(22, 0.16543913996986143)	(24, 0.16544715861777243)	(26, 0.16546319591359437)	(28, 0.16547442202066975)	(30, 0.16548404439816294)	(32, 0.1655113078010603)	(34, 0.16554017493353984)	(36, 0.1655626271476906)	(38, 0.16560111665766333)	(40, 0.16562517260139628)	(42, 0.16563960616763607)	(44, 0.165655643463458)	(46, 0.1656748882184444)	(48, 0.16568932178468415)	(50, 0.16569734043259515)	(52, 0.16571498145799932)	(54, 0.16574545232006105)	(56, 0.1657791306412872)	(58, 0.16579516793710916)	(60, 0.16580639404418457)	(62, 0.16582082761042433)	(64, 0.16583686490624627)	(66, 0.16584327982457508)	(68, 0.16585290220206828)	(70, 0.16586092084997922)	(72, 0.16587375068663682)	(74, 0.1658801656049656)	(76, 0.16589941035995198)	(78, 0.16591063646702736)	(80, 0.16591544765577393)	(82, 0.1659282774924315)	(84, 0.1659362961403425)	(86, 0.16594271105867128)	(88, 0.16595072970658228)	(90, 0.16595072970658228)
PM2622_R2_unpaired - polyg	(1, 0.6240103548700248)	(2, 0.6273756876280876)	(3, 0.6284111746305684)	(4, 0.6284111746305684)	(5, 0.6284543199223385)	(6, 0.6284543199223385)	(7, 0.6287131916729587)	(8, 0.629058354007119)	(9, 0.629101499298889)	(10, 0.6291877898824291)	(12, 0.6292309351741991)	(14, 0.6292309351741991)	(16, 0.6292525078200841)	(18, 0.6293172257577392)	(20, 0.6293172257577392)	(22, 0.6293172257577392)	(24, 0.6293387984036243)	(26, 0.6294035163412792)	(28, 0.6294035163412792)	(30, 0.6294035163412792)	(32, 0.6294250889871642)	(34, 0.6294466616330493)	(36, 0.6295329522165893)	(38, 0.6296623880918994)	(40, 0.6298996871966347)	(42, 0.6299428324884047)	(44, 0.6300291230719448)	(46, 0.6301585589472549)	(48, 0.6302664221766799)	(50, 0.6302664221766799)	(52, 0.630331140114335)	(54, 0.6304821486355301)	(56, 0.6305684392190702)	(58, 0.6305900118649552)	(60, 0.6306547298026103)	(62, 0.6307410203861503)	(64, 0.6307841656779204)	(66, 0.6308488836155755)	(68, 0.6309351741991156)	(70, 0.6309998921367705)	(72, 0.6312156185956208)	(74, 0.6313234818250458)	(76, 0.6314313450544708)	(78, 0.6314744903462409)	(80, 0.631517635638011)	(82, 0.6316254988674361)	(84, 0.6316686441592061)	(86, 0.6317333620968613)	(88, 0.6318196526804013)	(90, 0.6318627979721713)
