tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,known_pathogen
3054436,2,3054436,Verruciconidia,"",eukaryota,false,,,,0.2239421476813366,2,,,100.0,75.0,10^-38.6685,,,,,,,,,,,,,,,,,[5051],0
5051,1,3054436,Verruciconidia persicina,"",eukaryota,false,,,,0.2239421476813366,2,,,100.0,75.0,10^-38.6685,,,,,,,,,,,,,,,,,,0
3041336,2,3041336,Stipitochalara,"",eukaryota,false,,,,,,,,,,,,,,,,0.1119710738406683,1,,,88.0,25.0,10^-5.96658,,,,,[112123],0
112123,1,3041336,Stipitochalara longipes,"",eukaryota,false,,,,,,,,,,,,,,,,0.1119710738406683,1,,,88.0,25.0,10^-5.96658,,,,,,0
3025755,2,3025755,Thomasclavelia,"",bacteria,false,,,,,,,,,,,,,,,,0.1119710738406683,1,,,88.0,25.0,10^-3.67985,,,,,[1522],0
1522,1,3025755,[Clostridium] innocuum,"",bacteria,false,,,,,,,,,,,,,,,,0.1119710738406683,1,,,88.0,25.0,10^-3.67985,,,,,,0
3004333,2,3004333,Paramarasmius,"",eukaryota,false,,,,0.1119710738406683,1,,,98.667,75.0,10^-37.2961,,,,,,,,,,,,,,,,,[297713],0
297713,1,3004333,Paramarasmius palmivorus,"",eukaryota,false,,,,0.1119710738406683,1,,,98.667,75.0,10^-37.2961,,,,,,,,,,,,,,,,,,0
2996321,2,2996321,Niveomyces,"",eukaryota,false,,,,,,,,,,,,,,,,0.1119710738406683,1,,,100.0,22.0,10^-5.80134,,,,,[150359],0
150359,1,2996321,Niveomyces insectorum,"",eukaryota,false,,,,,,,,,,,,,,,,0.1119710738406683,1,,,100.0,22.0,10^-5.80134,,,,,,0
2986373,2,2986373,Polyschismium,"",eukaryota,false,,,,0.1119710738406683,1,,,89.831,59.0,10^-19.5595,,,,,,,,,,,,,,,,,[2911783],0
2911783,1,2986373,Polyschismium peyerimhoffii,"",eukaryota,false,,,,0.1119710738406683,1,,,89.831,59.0,10^-19.5595,,,,,,,,,,,,,,,,,,0
2983002,2,2983002,Neoantrodia,"",eukaryota,false,,,,0.1119710738406683,1,,,100.0,76.0,10^-39.3489,,,,,,,,,,,,,,,,,[239204],0
239204,1,2983002,Neoantrodia variiformis,"",eukaryota,false,,,,0.1119710738406683,1,,,100.0,76.0,10^-39.3489,,,,,,,,,,,,,,,,,,0
2901189,2,2901189,Halopseudomonas,"",bacteria,false,,,,0.1119710738406683,1,,,90.0,70.0,10^-25.6609,,,,,,,,,,,,,,,,,[1434072],0
1434072,1,2901189,Halopseudomonas salegens,"",bacteria,false,,,,0.1119710738406683,1,,,90.0,70.0,10^-25.6609,,,,,,,,,,,,,,,,,,0
2831443,2,2831443,Heliomicrobium,"",bacteria,false,,,,,,,,,,,,,,,,0.1119710738406683,1,,,87.5,24.0,10^-3.92082,,,,,[35701],0
35701,1,2831443,Heliomicrobium modesticaldum,"",bacteria,false,,,,,,,,,,,,,,,,0.1119710738406683,1,,,87.5,24.0,10^-3.92082,,,,,,0
2791032,2,2791032,Candolleomyces,"",eukaryota,false,,,,0.1119710738406683,1,,,100.0,76.0,10^-39.3489,,,,,,,,,,,,,,,,,[2831879],0
