taxId,taxLevel,genus_tax_id,name,common_name,category,is_phage,species_tax_ids,agg_score,max_z_score,nt.z_score,nt.rpm,nt.count,nt.contigs,nt.contig_r,nt.percent_identity,nt.alignment_length,nt.e_value,nt.bg_mean,nt.bg_stdev,nt.bg_mean_mass_normalized,nt.bg_stdev_mass_normalized,nr.z_score,nr.rpm,nr.count,nr.contigs,nr.contig_r,nr.percent_identity,nr.alignment_length,nr.e_value,nr.bg_mean,nr.bg_stdev,nr.bg_mean_mass_normalized,nr.bg_stdev_mass_normalized,known_pathogen
542837,"genus",542837,"Zindervirus","","viruses",true,[194966],"-","-","-",1.0273074397068798,46,1,46,100,229,114.455,"-","-","-","-","-",1.0273074397068798,46,1,46,100,63,40.644,"-","-","-","-",0
194966,"species",542837,"Zindervirus SP6","","viruses",true,"-","-","-","-",1,46,1,46,100,229,114.5,"-","-","-","-","-",1,46,1,46,100,63,40.6,"-","-","-","-",0
232799,"genus",232799,"Iflavirus","","viruses",false,[2970551],"-","-","-",0.044665540856820854,2,"-","-",97.183,59.5,25.3967,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0
2970551,"species",232799,"Hanko iflavirus 1","","viruses",false,"-","-","-","-",0,2,"-","-",97.2,59.5,25.4,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0
11007,"genus",11007,"Totivirus","","viruses",false,"[3048756,2970651,2970642,2970633,2970632,2970625,2970611]","-","-","-",0.08933108171364171,4,"-","-",98.1277,54.25,23.2018,"-","-","-","-","-",0.26799324514092515,12,"-","-",75.4556,29,4.96143,"-","-","-","-",0
2970625,"species",11007,"Hanko totivirus 4","","viruses",false,"-","-","-","-",0.1,4,"-","-",98.1,54.3,23.2,"-","-","-","-","-",0.1,5,"-","-",84.8,22.5,3.3,"-","-","-","-",0
10892,"genus",10892,"Orbivirus","","viruses",false,"[2933670,2899249]","-","-","-",3.751905431972952,168,1,123,85.1466,435.741,105.671,"-","-","-","-","-",11.434378459346139,512,12,450,75.6767,153.827,76.9839,"-","-","-","-",0
2899249,"species",10892,"Aedes orbi-like virus","","viruses",false,"-","-","-","-",3.8,168,1,123,85.1,435.7,105.7,"-","-","-","-","-",9.6,430,10,368,82.2,161,86.8,"-","-","-","-",0
200,"genus",200,"all taxa with neither family nor genus classification","-","-",false,"[2980386,2980377,2951410,2920895,2900548,2896527,2874458,2832643,2814272,2806336,2800948,2800930,2800924,2789886,2789885,2778382,2778381,2771455,2730855,2689360,2682145,2681972,2653183,2607735,2607732,2603660,2507131,2486578,2482790,2448782,2292889,2268180,2250274,2053607,2053554,2053527,2052143,2052139,2044939,2035772,2027351,2027350,2026887,2026788,2026786,2026780,2026735,2015569,2006849,1978525,1978231,1977087,1970559,1970543,1925501,1923458,1923275,1915306,1913989,1909295,1909291,1906665,1899017,1898207,1898104,1892890,1891241,1891238,1882930,1882833,1869227,1852815,1797058,1795439,1768115,1768112,1709941,1709940,1701327,1701325,1645740,1635276,1619074,1618996,1469502,1425163,1306397,1256574,1180564,1075826,723618,713059,710994,710978,710974,710836,710820,710808,710804,710802,710788,710740,698390,698385,698379,697907,647385,588700,563057,547482,546760,526661,423052,417325,417305,410823,358574,353587,342097,340016,271356,239730,209475,208549,199737,198431,194846,175275,175245,175243,171248,165963,164851,155900,152509,152507,100272,86473,86027,77133,32644,29281,2355,2340,1211,-100]","-","-","-",110.65887747277367,4955,13,4217,98.2086,473.385,169.024,"-","-","-","-","-",216.42687822172547,9691,51,32511,53.5119,443.834,168.047,"-","-","-","-",0
2800924,"species",200,"Lasigmu virus","","viruses",false,"-","-","-","-",1.9,85,1,62,88.3,257,79.5,"-","-","-","-","-",3.1,140,3,121,90.7,87.4,43.6,"-","-","-","-",0
2607735,"species",200,"Guadeloupe mosquito virus","","viruses",false,"-","-","-","-",0.1,4,"-","-",98.9,81.5,41.7,"-","-","-","-","-",0,1,"-","-",93.5,31,10.8,"-","-","-","-",0
340016,"species",200,"uncultured virus","","viruses",false,"-","-","-","-",2.3,101,5,95,86.1,284.6,77,"-","-","-","-","-",1.7,74,4,67,89.8,95.7,45.6,"-","-","-","-",0
200011012,"genus",200011012,"non-genus-specific reads in family Partitiviridae","-","viruses",false,"[2970631,2686048]","-","-","-",0.08933108171364171,4,"-","-",96.7182,61.5,26.7523,"-","-","-","-","-",0.26799324514092515,12,"-","-",42.1669,102.917,14.1384,"-","-","-","-",0
2970631,"species",200011012,"Hattula partiti-like virus","","viruses",false,"-","-","-","-",0.1,4,"-","-",96.7,61.5,26.8,"-","-","-","-","-",0,1,"-","-",96,25,5.8,"-","-","-","-",0
200675071,"genus",200675071,"non-genus-specific reads in family Virgaviridae","-","viruses",false,[2689344],"-","-","-",0.044665540856820854,2,"-","-",92.0345,100.5,45.0602,"-","-","-","-","-",0.044665540856820854,2,"-","-",96.95,32.5,11.2111,"-","-","-","-",0
2689344,"species",200675071,"Atrato Virga-like virus 5","","viruses",false,"-","-","-","-",0,2,"-","-",92,100.5,45.1,"-","-","-","-","-",0,2,"-","-",97,32.5,11.2,"-","-","-","-",0
3 Filters Applied:,Categories:, Viruses,Viruses - Phage,Thresholds:, NT L (alignment length in bp) >= 50
