tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,known_pathogen
3085317,2,3085317,Zelopaecilomyces,"",eukaryota,false,,,,0.0975824151803889,1,,,90.789,76.0,10^-29.7423,,,,,,,,,,,,,,,,,[264952],0
264952,1,3085317,Zelopaecilomyces penicillatus,"",eukaryota,false,,,,0.0975824151803889,1,,,90.789,76.0,10^-29.7423,,,,,,,,,,,,,,,,,,0
3078583,2,3078583,Ecytonucleospora,"",eukaryota,false,,,,0.0975824151803889,1,,,90.667,75.0,10^-29.0619,,,,,,,,,,,,,,,,,[646526],0
646526,1,3078583,Ecytonucleospora hepatopenaei,"",eukaryota,false,,,,0.0975824151803889,1,,,90.667,75.0,10^-29.0619,,,,,,,,,,,,,,,,,,0
3072477,2,3072477,Agroathelia,"",eukaryota,false,,,,0.0975824151803889,1,,,94.444,72.0,10^-31.1382,,,,,,,,,,,,,,,,,[39291],0
39291,1,3072477,Agroathelia rolfsii,"",eukaryota,false,,,,0.0975824151803889,1,,,94.444,72.0,10^-31.1382,,,,,,,,,,,,,,,,,,0
3068352,2,3068352,Rubroshorea,"",eukaryota,false,,,,,,,,,,,,,,,,0.1951648303607778,2,,,83.4,24.5,10^-4.60643,,,,,[152421],0
152421,1,3068352,Rubroshorea leprosula,"",eukaryota,false,,,,,,,,,,,,,,,,0.1951648303607778,2,,,83.4,24.5,10^-4.60643,,,,,,0
2983819,2,2983819,Neoarthrinium,"",eukaryota,false,,,,0.1951648303607778,2,,,94.09,49.5,10^-17.2462,,,,,,,,,,,,,,,,,[1658444],0
1658444,1,2983819,Neoarthrinium moseri,"",eukaryota,false,,,,0.1951648303607778,2,,,94.09,49.5,10^-17.2462,,,,,,,,,,,,,,,,,,0
2983002,2,2983002,Neoantrodia,"",eukaryota,false,,,,0.1951648303607778,2,,,97.3685,57.0,10^-25.0896,,,,,,,,,,,,,,,,,[139415],0
