tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,species_tax_ids,known_pathogen,sample_name,uploader,overall_job_status,runtime_seconds,total_reads,passed_filters,passed_filters_percent,host_organism,total_ercc_reads,subsampled_fraction,quality_control,compression_ratio,reads_after_bowtie2_ercc_filtered,reads_after_fastp,reads_after_bowtie2_host_filtered,reads_after_hisat2_host_filtered,reads_after_czid_dedup,sample_type,nucleotide_type,collection_date,water_control,state,site,habitat,species,lineage,family
11007,2,11007,Totivirus,,viruses,False,,,,,,,,76.352517548572,641.0,1.0,641.0,88.095,42.0,10^-18.1925,[2970625],0,PM3183,Jorge Alberto Castro Rodríguez,COMPLETE,1590,8395294,64936,0.773,Mosquito,24.0,1.0,83.569,1.12,8395270,7015864,4003586,3931426,57760,Whole Body,RNA,01/01/2024,No,Quintana Roo,Caobas,diversificado,aedes_serratus,"OrderedDict({'genus': 'Totivirus', 'family': 'Orthototiviridae', 'suborder': 'Alphatotivirineae', 'order': 'Ghabrivirales', 'class': 'Chrymotiviricetes', 'phylum': 'Duplornaviricota', 'kingdom': 'Orthornavirae', 'realm': 'Riboviria', 'acellular root': 'Viruses'})",Orthototiviridae
2970625,1,11007,Hanko totivirus 4,,viruses,False,,,,,,,,76.352517548572,641.0,1.0,641.0,88.095,42.0,10^-18.1925,,0,PM3183,Jorge Alberto Castro Rodríguez,COMPLETE,1590,8395294,64936,0.773,Mosquito,24.0,1.0,83.569,1.12,8395270,7015864,4003586,3931426,57760,Whole Body,RNA,01/01/2024,No,Quintana Roo,Caobas,diversificado,aedes_serratus,"OrderedDict({'species': 'Hanko totivirus 4', 'genus': 'Totivirus', 'family': 'Orthototiviridae', 'suborder': 'Alphatotivirineae', 'order': 'Ghabrivirales', 'class': 'Chrymotiviricetes', 'phylum': 'Duplornaviricota', 'kingdom': 'Orthornavirae', 'realm': 'Riboviria', 'acellular root': 'Viruses'})",Orthototiviridae
2980377,1,-200,Kvarnon virus,,viruses,False,,,,,,,,0.2382293839269016,2.0,,,95.8,24.0,10^-5.20522,,0,PM3183,Jorge Alberto Castro Rodríguez,COMPLETE,1590,8395294,64936,0.773,Mosquito,24.0,1.0,83.569,1.12,8395270,7015864,4003586,3931426,57760,Whole Body,RNA,01/01/2024,No,Quintana Roo,Caobas,diversificado,aedes_serratus,"OrderedDict({'species': 'Kvarnon virus', 'realm': 'Riboviria', 'acellular root': 'Viruses'})",Unclassified
2689360,1,-200,Atrato Retro-like virus,,viruses,False,,,,,,,,0.2382293839269016,2.0,,,85.4,24.0,10^-5.00922,,0,PM3183,Jorge Alberto Castro Rodríguez,COMPLETE,1590,8395294,64936,0.773,Mosquito,24.0,1.0,83.569,1.12,8395270,7015864,4003586,3931426,57760,Whole Body,RNA,01/01/2024,No,Quintana Roo,Caobas,diversificado,aedes_serratus,"OrderedDict({'species': 'Atrato Retro-like virus', 'order': 'Ortervirales', 'class': 'Revtraviricetes', 'phylum': 'Artverviricota', 'kingdom': 'Pararnavirae', 'realm': 'Riboviria', 'acellular root': 'Viruses'})",Unclassified
2607732,1,-200,Guadeloupe mosquito mononega-like virus,,viruses,False,,,,,,,,10.005634124929871,84.0,3.0,24.0,84.7475,42.5,10^-17.1492,,0,PM3183,Jorge Alberto Castro Rodríguez,COMPLETE,1590,8395294,64936,0.773,Mosquito,24.0,1.0,83.569,1.12,8395270,7015864,4003586,3931426,57760,Whole Body,RNA,01/01/2024,No,Quintana Roo,Caobas,diversificado,aedes_serratus,"OrderedDict({'species': 'Guadeloupe mosquito mononega-like virus', 'order': 'Mononegavirales', 'class': 'Monjiviricetes', 'subphylum': 'Haploviricotina', 'phylum': 'Negarnaviricota', 'kingdom': 'Orthornavirae', 'realm': 'Riboviria', 'acellular root': 'Viruses'})",Unclassified
2585031,1,-200,Riboviria sp.,,viruses,False,0.4764587678538033,4.0,,,91.1348,67.0,10^-25.3387,0.2382293839269016,2.0,,,87.9,24.5,10^-5.95107,,0,PM3183,Jorge Alberto Castro Rodríguez,COMPLETE,1590,8395294,64936,0.773,Mosquito,24.0,1.0,83.569,1.12,8395270,7015864,4003586,3931426,57760,Whole Body,RNA,01/01/2024,No,Quintana Roo,Caobas,diversificado,aedes_serratus,"OrderedDict({'species': 'Riboviria sp.', 'realm': 'Riboviria', 'acellular root': 'Viruses'})",Unclassified
-200011270,2,-200011270,non-genus-specific reads in family Rhabdoviridae,,viruses,False,,,,,,,,0.4764587678538033,4.0,,,76.75,24.75,10^-3.99535,"[2980584, 2689334]",0,PM3183,Jorge Alberto Castro Rodríguez,COMPLETE,1590,8395294,64936,0.773,Mosquito,24.0,1.0,83.569,1.12,8395270,7015864,4003586,3931426,57760,Whole Body,RNA,01/01/2024,No,Quintana Roo,Caobas,diversificado,aedes_serratus,"{'family': 'Unclassified', 'note': 'Could not retrieve from NCBI: The input integer is not a valid NCBI taxonomic identifier.'}",Unclassified
2980584,1,-200011270,Inari rhabdovirus,,viruses,False,,,,,,,,0.1191146919634508,1.0,,,68.0,25.0,10^-3.21183,,0,PM3183,Jorge Alberto Castro Rodríguez,COMPLETE,1590,8395294,64936,0.773,Mosquito,24.0,1.0,83.569,1.12,8395270,7015864,4003586,3931426,57760,Whole Body,RNA,01/01/2024,No,Quintana Roo,Caobas,diversificado,aedes_serratus,"OrderedDict({'species': 'Merhavirus inari', 'genus': 'Merhavirus', 'subfamily': 'Alpharhabdovirinae', 'family': 'Rhabdoviridae', 'order': 'Mononegavirales', 'class': 'Monjiviricetes', 'subphylum': 'Haploviricotina', 'phylum': 'Negarnaviricota', 'kingdom': 'Orthornavirae', 'realm': 'Riboviria', 'acellular root': 'Viruses'})",Rhabdoviridae
2689334,1,-200011270,Atrato Rhabdo-like virus 2,,viruses,False,,,,,,,,0.3573440758903525,3.0,,,79.6667,24.6667,10^-4.25653,,0,PM3183,Jorge Alberto Castro Rodríguez,COMPLETE,1590,8395294,64936,0.773,Mosquito,24.0,1.0,83.569,1.12,8395270,7015864,4003586,3931426,57760,Whole Body,RNA,01/01/2024,No,Quintana Roo,Caobas,diversificado,aedes_serratus,"OrderedDict({'species': 'Atrato Rhabdo-like virus 2', 'family': 'Rhabdoviridae', 'order': 'Mononegavirales', 'class': 'Monjiviricetes', 'subphylum': 'Haploviricotina', 'phylum': 'Negarnaviricota', 'kingdom': 'Orthornavirae', 'realm': 'Riboviria', 'acellular root': 'Viruses'})",Rhabdoviridae
-200249310,2,-200249310,non-genus-specific reads in family Chrysoviridae,,viruses,False,,,,,,,,0.1191146919634508,1.0,,,72.0,25.0,10^-3.08197,[2805777],0,PM3183,Jorge Alberto Castro Rodríguez,COMPLETE,1590,8395294,64936,0.773,Mosquito,24.0,1.0,83.569,1.12,8395270,7015864,4003586,3931426,57760,Whole Body,RNA,01/01/2024,No,Quintana Roo,Caobas,diversificado,aedes_serratus,"{'family': 'Unclassified', 'note': 'Could not retrieve from NCBI: The input integer is not a valid NCBI taxonomic identifier.'}",Unclassified
