taxId,taxLevel,genus_tax_id,name,common_name,category,is_phage,species_tax_ids,agg_score,max_z_score,nt.z_score,nt.rpm,nt.count,nt.contigs,nt.contig_r,nt.percent_identity,nt.alignment_length,nt.e_value,nt.bg_mean,nt.bg_stdev,nt.bg_mean_mass_normalized,nt.bg_stdev_mass_normalized,nr.z_score,nr.rpm,nr.count,nr.contigs,nr.contig_r,nr.percent_identity,nr.alignment_length,nr.e_value,nr.bg_mean,nr.bg_stdev,nr.bg_mean_mass_normalized,nr.bg_stdev_mass_normalized,known_pathogen
2109376,"species",200,"High Island virus","","viruses",false,"-","-","-","-",0.7,23,"-","-",92.3,96.1,42.6,"-","-","-","-","-",0.6,18,"-","-",96.1,31.8,10.9,"-","-","-","-",0
1923335,"species",200,"Hubei virga-like virus 2","","viruses",false,"-","-","-","-",0.1,2,"-","-",94.4,89,41.3,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0
1868660,"species",200,"uncultured Mediterranean phage","","viruses",true,"-","-","-","-",0,1,"-","-",88.9,54,16.2,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0
1795439,"species",200,"Kaiowa virus","","viruses",false,"-","-","-","-",0.1,2,"-","-",100,100.5,56,"-","-","-","-","-",1,31,2,16,66.9,63.3,20,"-","-","-","-",0
1795437,"species",200,"Guato virus","","viruses",false,"-","-","-","-",0.2,5,"-","-",98.3,87.4,45.2,"-","-","-","-","-",0.1,4,"-","-",83.9,32.5,10.3,"-","-","-","-",0
38018,"species",200,"Bacteriophage sp.","","viruses",true,"-","-","-","-",0.1,3,"-","-",96.3,59.3,25.8,"-","-","-","-","-",0.1,3,"-","-",93.9,26.3,4.9,"-","-","-","-",0
200011012,"genus",200011012,"non-genus-specific reads in family Partitiviridae","-","viruses",false,"[2970631,2759333,2759331,2686048]","-","-","-",44.14720604289316,1428,"-","-",99.7902,1497.63,303.838,"-","-","-","-","-",43.0033358583084,1391,"-","-",98.8183,467.235,300.633,"-","-","-","-",0
2970631,"species",200011012,"Hattula partiti-like virus","","viruses",false,"-","-","-","-",2,64,"-","-",98.4,61.8,28.3,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0
2759333,"species",200011012,"Verdadero virus","","viruses",false,"-","-","-","-",42.1,1362,2,1357,99.8,1512.1,306.6,"-","-","-","-","-",42.3,1367,2,1357,99.7,473,305.3,"-","-","-","-",0
2759331,"species",200011012,"Chaq-like virus","","viruses",false,"-","-","-","-",0.1,2,"-","-",99,101,55,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0
200011050,"genus",200011050,"non-genus-specific reads in family Flaviviridae","-","viruses",false,[2602438],"-","-","-",0.030915410394182885,1,"-","-",95.05,101,49.5182,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0
2602438,"species",200011050,"Guapiacu virus","","viruses",false,"-","-","-","-",0,1,"-","-",95,101,49.5,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0
3 Filters Applied:,Categories:, Viruses,Viruses - Phage,Thresholds:, NT L (alignment length in bp) >= 50
