taxId,taxLevel,genus_tax_id,name,common_name,category,is_phage,species_tax_ids,agg_score,max_z_score,nt.z_score,nt.rpm,nt.count,nt.contigs,nt.contig_r,nt.percent_identity,nt.alignment_length,nt.e_value,nt.bg_mean,nt.bg_stdev,nt.bg_mean_mass_normalized,nt.bg_stdev_mass_normalized,nr.z_score,nr.rpm,nr.count,nr.contigs,nr.contig_r,nr.percent_identity,nr.alignment_length,nr.e_value,nr.bg_mean,nr.bg_stdev,nr.bg_mean_mass_normalized,nr.bg_stdev_mass_normalized,known_pathogen
3044782,"genus",3044782,"Orthoflavivirus","","viruses",false,[3052464],"-","-","-",0.09274623118254866,3,"-","-",97.596,97,49.9938,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1
3052464,"species",3044782,"Orthoflavivirus denguei","","viruses",false,"-","-","-","-",0.1,3,"-","-",97.6,97,50,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1
2948734,"genus",2948734,"Gylbovirus","","viruses",false,[2955967],"-","-","-",153.95874376303078,4980,1,4974,98.9514,12667.2,307.313,"-","-","-","-","-",0.1854924623650973,6,"-","-",86.3167,28.5,6.73387,"-","-","-","-",0
2955967,"species",2948734,"Gylbovirus aagae","","viruses",false,"-","-","-","-",154,4980,1,4974,99,12667.2,307.3,"-","-","-","-","-",0.2,6,"-","-",86.3,28.5,6.7,"-","-","-","-",0
1884455,"genus",1884455,"Anphevirus","","viruses",false,"[2783999,2059675]","-","-","-",0.1854924623650973,6,"-","-",99.7618,69.6667,34.5851,"-","-","-","-","-",154.0824054046075,4984,1,4974,99.1657,2029.83,307.024,"-","-","-","-",0
2059675,"species",1884455,"Aedes aegypti anphevirus","","viruses",false,"-","-","-","-",0.2,6,"-","-",99.8,69.7,34.6,"-","-","-","-","-",153.9,4979,1,4974,99.2,2031.9,307.3,"-","-","-","-",0
1312873,"genus",1312873,"Alphamesonivirus","","viruses",false,[1312874],"-","-","-",0.12366164157673154,4,"-","-",100,93,50.928,"-","-","-","-","-",0.12366164157673154,4,"-","-",100,30.25,11.1527,"-","-","-","-",0
1312874,"species",1312873,"Alphamesonivirus 1","","viruses",false,"-","-","-","-",0.1,4,"-","-",100,93,50.9,"-","-","-","-","-",0.1,4,"-","-",100,30.3,11.2,"-","-","-","-",0
186767,"genus",186767,"Narnavirus","","viruses",false,"[2719528,2507127]","-","-","-",16.50882915049366,534,3,531,97.2741,883.142,287.957,"-","-","-","-","-",12.42799497846152,402,1,400,99.6315,353.144,305.938,"-","-","-","-",0
2507127,"species",186767,"Aedes taeniorhynchus narnavirus","","viruses",false,"-","-","-","-",16.5,534,3,531,97.3,883.1,288,"-","-","-","-","-",12.4,401,1,400,99.7,354.1,306.8,"-","-","-","-",0
11095,"genus",11095,"Pestivirus","","viruses",false,[3052619],"-","-","-",0.06183082078836577,2,"-","-",93.57,76.5,32.8278,"-","-","-","-","-",0.06183082078836577,2,"-","-",94.25,26,6.80305,"-","-","-","-",0
3052619,"species",11095,"Pestivirus bovis","","viruses",false,"-","-","-","-",0.1,2,"-","-",93.6,76.5,32.8,"-","-","-","-","-",0.1,2,"-","-",94.3,26,6.8,"-","-","-","-",0
11051,"genus",11051,"Flavivirus","arboviruses group B","viruses",false,"[2045187,1708574,1046551,390845,218849,31658]","-","-","-",0.030915410394182885,1,"-","-",99,100,54.3258,"-","-","-","-","-",0.30915410394182885,10,"-","-",81.78,30.5,7.06759,"-","-","-","-",0
31658,"species",11051,"Cell fusing agent virus","","viruses",false,"-","-","-","-",0,1,"-","-",99,100,54.3,"-","-","-","-","-",0,1,"-","-",100,33,12.4,"-","-","-","-",0
11007,"genus",11007,"Totivirus","","viruses",false,"[2970651,2970642,2970639,2970634,2970633,2970629,2970625,2970618,2970611]","-","-","-",0.2164078727592802,7,"-","-",98.5144,56.8571,25.1639,"-","-","-","-","-",2.689640704293911,87,4,35,65.8221,61.7973,14.001,"-","-","-","-",0
2970625,"species",11007,"Hanko totivirus 4","","viruses",false,"-","-","-","-",0.2,7,"-","-",98.5,56.9,25.2,"-","-","-","-","-",0.6,21,"-","-",83.3,24.5,3.8,"-","-","-","-",0
200,"genus",200,"all taxa with neither family nor genus classification","-","-",false,"[3055750,2996477,2980377,2952099,2936537,2929650,2899248,2899247,2883290,2832643,2829486,2814224,2800948,2800931,2800930,2800909,2789886,2789885,2771455,2762014,2717699,2715253,2689360,2681972,2653184,2607732,2603660,2588092,2585267,2527963,2448054,2268178,2250274,2109376,2080452,2053541,2052149,2045217,2044939,2044936,2027351,2027350,2026803,2026799,2026792,2026788,2026786,2026778,2026773,2026763,2026749,2026735,2026724,2026714,2025587,2021391,2010267,1993870,1986615,1978231,1977087,1974763,1974008,1965488,1933432,1930275,1925501,1923458,1923335,1913989,1913988,1909295,1906665,1898104,1891241,1891229,1879010,1869227,1868660,1852815,1795439,1795437,1768112,1756126,1755443,1715222,1709941,1709940,1709932,1701327,1701325,1701324,1635280,1619081,1619057,1578554,1578552,1578551,1576931,1563632,1202496,1197044,1091569,1076629,1075826,1052209,947516,723595,723593,710997,710995,710984,710977,710836,710831,710809,710808,710804,710741,710740,697907,542474,526643,465787,417305,410823,360423,358574,341533,341166,312227,262096,241622,235205,208549,198431,175245,175243,171953,155900,152507,113268,100272,91750,86473,77133,38018,32644,13136,2355,2340,-100]","-","-","-",633.6422514391725,20496,14,20336,96.6493,124.373,40.1686,"-","-","-","-","-",266.6454146498274,8625,91,29937,61.5524,71.1808,16.5007,"-","-","-","-",0
2607732,"species",200,"Guadeloupe mosquito mononega-like virus","","viruses",false,"-","-","-","-",0,1,"-","-",84.1,82,25.6,"-","-","-","-","-",4.5,145,5,58,86.9,67.4,33.6,"-","-","-","-",0
