tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,known_pathogen
3112694,2,3112694,Cryoendolithus,"",eukaryota,false,,,,,,,,,,,,,,,,0.07479995565907273,1,,,72.7,33.0,10^-7.9431,,,,,[1507870],0
1507870,1,3112694,Cryoendolithus antarcticus,"",eukaryota,false,,,,,,,,,,,,,,,,0.07479995565907273,1,,,72.7,33.0,10^-7.9431,,,,,,0
3108216,2,3108216,Jeongeuplla,"",bacteria,false,,,,0.14959991131814546,2,,,98.901,91.0,10^-48.1911,,,,,,,,,,,,,,,,,[2998449],0
2998449,1,3108216,Jeongeuplla avenae,"",bacteria,false,,,,0.14959991131814546,2,,,98.901,91.0,10^-48.1911,,,,,,,,,,,,,,,,,,0
3082816,2,3082816,Candidatus Onthonaster,"",bacteria,false,,,,,,,,,,,,,,,,0.07479995565907273,1,,,63.6,33.0,10^-4.54212,,,,,[3083123],0
3083123,1,3082816,Candidatus Onthonaster equi,"",bacteria,false,,,,,,,,,,,,,,,,0.07479995565907273,1,,,63.6,33.0,10^-4.54212,,,,,,0
3080801,2,3080801,Moumouvirus,"",viruses,false,,,,0.14959991131814546,2,,,91.667,36.0,10^-8.10892,,,,,,,,,,,,,,,,,[1128137],0
1128137,1,3080801,Moumouvirus moumou,"",viruses,false,,,,0.14959991131814546,2,,,91.667,36.0,10^-8.10892,,,,,,,,,,,,,,,,,,0
3077414,2,3077414,Pulverolepiota,"",eukaryota,false,,,,0.07479995565907273,1,,,100.0,92.0,10^-50.2449,,,,,,,,,,,,,,,,,[3077415],0
3077415,1,3077414,Pulverolepiota oliveirae,"",eukaryota,false,,,,0.07479995565907273,1,,,100.0,92.0,10^-50.2449,,,,,,,,,,,,,,,,,,0
