taxId,taxLevel,genus_tax_id,name,common_name,category,is_phage,species_tax_ids,agg_score,max_z_score,nt.z_score,nt.rpm,nt.count,nt.contigs,nt.contig_r,nt.percent_identity,nt.alignment_length,nt.e_value,nt.bg_mean,nt.bg_stdev,nt.bg_mean_mass_normalized,nt.bg_stdev_mass_normalized,nr.z_score,nr.rpm,nr.count,nr.contigs,nr.contig_r,nr.percent_identity,nr.alignment_length,nr.e_value,nr.bg_mean,nr.bg_stdev,nr.bg_mean_mass_normalized,nr.bg_stdev_mass_normalized,known_pathogen
2948872,"genus",2948872,"Potamoivirus","","viruses",true,[2956330],"-","-","-",0.10742007774898928,2,"-","-",91.071,56,18.896,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0
2956330,"species",2948872,"Potamoivirus tusconj","","viruses",true,"-","-","-","-",0.1,2,"-","-",91.1,56,18.9,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0
2948734,"genus",2948734,"Gylbovirus","","viruses",false,[2955967],"-","-","-",6.9823050536843025,130,5,39,99.5443,138.369,71.2735,"-","-","-","-","-",5.746974159570926,107,2,14,99.2528,33.466,13.0819,"-","-","-","-",0
2955967,"species",2948734,"Gylbovirus aagae","","viruses",false,"-","-","-","-",7,130,5,39,99.5,138.4,71.3,"-","-","-","-","-",5.7,107,2,14,99.3,33.5,13.1,"-","-","-","-",0
1980928,"genus",1980928,"Sepunavirus","","viruses",true,"[3028900,2750277]","-","-","-",0.10742007774898928,2,"-","-",100,96,52.9712,"-","-","-","-","-",0.05371003887449464,1,"-","-",100,31,9.93181,"-","-","-","-",0
2750277,"species",1980928,"Staphylococcus phage vB_SepM_BE05","","viruses",true,"-","-","-","-",0.1,2,"-","-",100,96,53,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0
1884455,"genus",1884455,"Anphevirus","","viruses",false,"[2783999,2059675]","-","-","-",3.544862565716646,66,2,14,99.4185,124.403,63.5477,"-","-","-","-","-",3.974542876712603,74,5,39,97.7018,60.2973,31.6723,"-","-","-","-",0
2059675,"species",1884455,"Aedes aegypti anphevirus","","viruses",false,"-","-","-","-",3.5,66,2,14,99.4,124.4,63.5,"-","-","-","-","-",3.8,70,5,39,98.6,62.3,33.3,"-","-","-","-",0
1623305,"genus",1623305,"Skunavirus","","viruses",true,"[2845452,2845442,2845432,2845407,2845163,2777328,665884,31532]","-","-","-",0.37597027212146245,7,"-","-",98.59,82.1429,41.7774,"-","-","-","-","-",0.10742007774898928,2,"-","-",100,30,12.0004,"-","-","-","-",0
2845452,"species",1623305,"Skunavirus F0139","","viruses",false,"-","-","-","-",0.1,2,"-","-",97.6,83,41.4,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0
2845442,"species",1623305,"Skunavirus sv109","","viruses",false,"-","-","-","-",0.1,1,"-","-",97,99,50.9,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0
2845407,"species",1623305,"Skunavirus caseusJM1","","viruses",false,"-","-","-","-",0.1,1,"-","-",99,98,53,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0
2845163,"species",1623305,"Skunavirus sv3R16S","","viruses",false,"-","-","-","-",0.1,1,"-","-",99,100,54.3,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0
665884,"species",1623305,"Skunavirus CB14","","viruses",true,"-","-","-","-",0.1,1,"-","-",100,56,25.8,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0
31532,"species",1623305,"Skunavirus sk1","","viruses",true,"-","-","-","-",0.1,1,"-","-",100,56,25.8,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0
694002,"genus",694002,"Betacoronavirus","","viruses",false,[694009],"-","-","-",1.3964610107368605,26,1,22,100,89.125,37.4271,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1
694009,"species",694002,"Severe acute respiratory syndrome-related coronavirus","","viruses",false,"-","-","-","-",1.4,26,1,22,100,89.1,37.4,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1
232799,"genus",232799,"Iflavirus","","viruses",false,[2970550],"-","-","-",0.05371003887449464,1,"-","-",95,60,24.3555,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0
2970550,"species",232799,"Enontekio iflavirus","","viruses",false,"-","-","-","-",0.1,1,"-","-",95,60,24.4,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0
186767,"genus",186767,"Narnavirus","","viruses",false,[2507127],"-","-","-",10.956847930396906,204,3,168,97.8577,378.217,211.109,"-","-","-","-","-",8.80844637541712,164,2,148,99.4609,144.9,81.0371,"-","-","-","-",0
2507127,"species",186767,"Aedes taeniorhynchus narnavirus","","viruses",false,"-","-","-","-",11,204,3,168,97.9,378.2,211.1,"-","-","-","-","-",8.8,164,2,148,99.5,144.9,81,"-","-","-","-",0
186765,"genus",186765,"Lambdavirus","","viruses",true,"[2781358,10710]","-","-","-",0.05371003887449464,1,"-","-",99.01,101,55.0077,"-","-","-","-","-",0.21484015549797855,4,"-","-",98.5,33,14.6025,"-","-","-","-",0
10710,"species",186765,"Lambdavirus lambda","","viruses",true,"-","-","-","-",0.1,1,"-","-",99,101,55,"-","-","-","-","-",0.1,1,"-","-",97,33,12.4,"-","-","-","-",0
181083,"genus",181083,"Chlorovirus","","viruses",false,[1278246],"-","-","-",0.10742007774898928,2,"-","-",87.273,55,15.4729,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0
1278246,"species",181083,"Paramecium bursaria Chlorella virus AP110A","","viruses",false,"-","-","-","-",0.1,2,"-","-",87.3,55,15.5,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0
11051,"genus",11051,"Flavivirus","arboviruses group B","viruses",false,"[1244565,390845,218849,31658]","-","-","-",1.181620855238882,22,"-","-",99.2634,89.9091,47.8884,"-","-","-","-","-",1.3964610107368605,26,"-","-",95.8615,29.5,9.59304,"-","-","-","-",0
31658,"species",11051,"Cell fusing agent virus","","viruses",false,"-","-","-","-",1.2,22,"-","-",99.3,89.9,47.9,"-","-","-","-","-",1.2,22,"-","-",97.7,29.4,9.9,"-","-","-","-",0
11007,"genus",11007,"Totivirus","","viruses",false,"[2970651,2970634,2970633,2970632,2970629,2970625,2970611]","-","-","-",1.3964610107368605,26,"-","-",98.3493,56.35,24.5587,"-","-","-","-","-",5.532134004072947,103,3,29,70.8059,42.3117,10.5642,"-","-","-","-",0
2970625,"species",11007,"Hanko totivirus 4","","viruses",false,"-","-","-","-",1.4,26,"-","-",98.3,56.4,24.6,"-","-","-","-","-",3.2,59,"-","-",84.5,23.8,3.7,"-","-","-","-",0
10892,"genus",10892,"Orbivirus","","viruses",false,[2899249],"-","-","-",0.32226023324696784,6,"-","-",93.0035,73.3333,30.6747,"-","-","-","-","-",7.680535559052733,143,7,99,82.1305,72.2057,31.0224,"-","-","-","-",0
2899249,"species",10892,"Aedes orbi-like virus","","viruses",false,"-","-","-","-",0.3,6,"-","-",93,73.3,30.7,"-","-","-","-","-",7.7,143,7,99,82.1,72.2,31,"-","-","-","-",0
