taxId,taxLevel,genus_tax_id,name,common_name,category,is_phage,species_tax_ids,agg_score,max_z_score,nt.z_score,nt.rpm,nt.count,nt.contigs,nt.contig_r,nt.percent_identity,nt.alignment_length,nt.e_value,nt.bg_mean,nt.bg_stdev,nt.bg_mean_mass_normalized,nt.bg_stdev_mass_normalized,nr.z_score,nr.rpm,nr.count,nr.contigs,nr.contig_r,nr.percent_identity,nr.alignment_length,nr.e_value,nr.bg_mean,nr.bg_stdev,nr.bg_mean_mass_normalized,nr.bg_stdev_mass_normalized,known_pathogen
3044782,"genus",3044782,"Orthoflavivirus","","viruses",false,[3052464],"-","-","-",0.1217900082191684,4,"-","-",98.276,86.5,44.4391,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1
3052464,"species",3044782,"Orthoflavivirus denguei","","viruses",false,"-","-","-","-",0.1,4,"-","-",98.3,86.5,44.4,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1
2948734,"genus",2948734,"Gylbovirus","","viruses",false,[2955967],"-","-","-",146.36114237738562,4807,1,4805,98.9515,12677.5,307.53,"-","-","-","-","-",0.2131325143835447,7,"-","-",82.5286,30.8571,6.10458,"-","-","-","-",0
2955967,"species",2948734,"Gylbovirus aagae","","viruses",false,"-","-","-","-",146.4,4807,1,4805,99,12677.5,307.5,"-","-","-","-","-",0.2,7,"-","-",82.5,30.9,6.1,"-","-","-","-",0
1884455,"genus",1884455,"Anphevirus","","viruses",false,"[2783999,2059675]","-","-","-",0.0304475020547921,1,"-","-",98.305,59,26.4214,"-","-","-","-","-",146.33069487533083,4806,1,4805,99.2079,2033.57,307.587,"-","-","-","-",0
2059675,"species",1884455,"Aedes aegypti anphevirus","","viruses",false,"-","-","-","-",0,1,"-","-",98.3,59,26.4,"-","-","-","-","-",146.3,4805,1,4805,99.2,2034,307.7,"-","-","-","-",0
1312873,"genus",1312873,"Alphamesonivirus","","viruses",false,"[2606253,1945562,1312874]","-","-","-",0.2435800164383368,8,"-","-",99.7525,98.375,54.2476,"-","-","-","-","-",0.1826850123287526,6,"-","-",94.2333,31.1667,10.1184,"-","-","-","-",0
1312874,"species",1312873,"Alphamesonivirus 1","","viruses",false,"-","-","-","-",0.2,8,"-","-",99.8,98.4,54.2,"-","-","-","-","-",0.1,2,"-","-",100,33,14,"-","-","-","-",0
208294,"genus",208294,"Seadornavirus","","viruses",false,[246280],"-","-","-",0.0608950041095842,2,"-","-",92.822,62.5,23.9954,"-","-","-","-","-",0.0608950041095842,2,"-","-",93.7,31.5,10.5242,"-","-","-","-",0
246280,"species",208294,"Liao ning virus","","viruses",false,"-","-","-","-",0.1,2,"-","-",92.8,62.5,24,"-","-","-","-","-",0.1,2,"-","-",93.7,31.5,10.5,"-","-","-","-",0
186767,"genus",186767,"Narnavirus","","viruses",false,"[2992030,2736405,2507127]","-","-","-",40.129807708215985,1318,2,1317,97.1734,1017.63,307.395,"-","-","-","-","-",0.0608950041095842,2,"-","-",84.6,26,4.82681,"-","-","-","-",0
2507127,"species",186767,"Aedes taeniorhynchus narnavirus","","viruses",false,"-","-","-","-",40.1,1318,2,1317,97.2,1017.6,307.4,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0
11051,"genus",11051,"Flavivirus","arboviruses group B","viruses",false,"[2045187,1708654,1708574,390845,218849]","-","-","-",0.0608950041095842,2,"-","-",100,88,47.5195,"-","-","-","-","-",0.3653700246575052,12,"-","-",73.2917,30.8333,6.08996,"-","-","-","-",0
390845,"species",11051,"Aedes flavivirus","","viruses",false,"-","-","-","-",0.1,2,"-","-",100,88,47.5,"-","-","-","-","-",0.2,7,"-","-",76.6,30.6,6.1,"-","-","-","-",0
11007,"genus",11007,"Totivirus","","viruses",false,"[2996479,2970642,2970634,2970632,2970629,2970625,2970611]","-","-","-",0.1826850123287526,6,"-","-",97.5287,73,34.5681,"-","-","-","-","-",0.8525300575341788,28,"-","-",73.4964,29.8571,6.18768,"-","-","-","-",0
2970625,"species",11007,"Hanko totivirus 4","","viruses",false,"-","-","-","-",0.2,6,"-","-",97.5,73,34.6,"-","-","-","-","-",0.1,4,"-","-",76,27.5,4.8,"-","-","-","-",0
200,"genus",200,"all taxa with neither family nor genus classification","-","-",false,"[3055750,2984904,2983310,2980386,2980377,2979986,2936537,2929650,2910404,2900548,2899248,2883290,2855389,2832643,2800948,2800931,2800930,2800909,2789886,2789885,2783545,2730855,2717365,2689360,2681972,2653183,2607735,2607732,2588092,2585267,2518508,2507131,2486578,2448054,2268177,2250274,2109864,2109376,2053607,2053541,2052166,2045217,2044936,2043162,2039283,2035772,2030927,2030810,2027351,2027350,2026803,2026795,2026792,2026788,2026780,2026760,2026747,2026735,2026714,2017168,2013741,2011712,2010267,1993870,1977087,1975017,1974763,1974577,1925501,1923335,1922882,1919769,1919753,1913989,1913988,1906665,1898104,1891241,1891229,1874050,1869227,1868282,1852815,1801907,1795439,1795437,1768115,1756188,1756126,1756098,1715247,1709941,1709940,1709939,1709932,1701327,1628856,1619057,1618715,1576480,1423635,1393662,1368695,1321917,1242132,1133901,1131000,1075826,1052209,883811,861926,710990,710981,710978,710972,710836,710833,710820,710809,710808,710741,710740,648674,576716,573895,542474,465787,447265,417305,410823,378731,358574,310071,253830,237608,235205,208549,199737,175245,175244,171248,155900,153809,100272,91750,86473,77133,32644,-100]","-","-","-",205.0030313349152,6733,14,6456,92.7101,208.858,75.7098,"-","-","-","-","-",316.13641383490636,10383,93,31310,58.5709,99.0811,27.1513,"-","-","-","-",0
2783545,"species",200,"Providencia phage PSTCR3","","viruses",true,"-","-","-","-",0.1,2,"-","-",96,101,50.9,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0
