tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,known_pathogen
3116496,2,3116496,Halospeciosus,"",archaea,false,,,,0.07493176032017233,1,,,87.5,48.0,10^-12.1011,,,,,,,,,,,,,,,,,[3032283],0
3032283,1,3116496,Halospeciosus flavus,"",archaea,false,,,,0.07493176032017233,1,,,87.5,48.0,10^-12.1011,,,,,,,,,,,,,,,,,,0
3115661,2,3115661,Candidatus Haliotispira,"",bacteria,false,,,,0.07493176032017233,1,,,100.0,58.0,10^-27.115,,,,,,,,,,,,,,,,,[3034016],0
3034016,1,3115661,Candidatus Haliotispira prima,"",bacteria,false,,,,0.07493176032017233,1,,,100.0,58.0,10^-27.115,,,,,,,,,,,,,,,,,,0
3112694,2,3112694,Cryoendolithus,"",eukaryota,false,,,,,,,,,,,,,,,,0.07493176032017233,1,,,72.7,33.0,10^-4.54516,,,,,[1507870],0
1507870,1,3112694,Cryoendolithus antarcticus,"",eukaryota,false,,,,,,,,,,,,,,,,0.07493176032017233,1,,,72.7,33.0,10^-4.54516,,,,,,0
3108216,2,3108216,Jeongeuplla,"",bacteria,false,,,,0.07493176032017233,1,,,95.0,100.0,10^-48.8363,,,,,,,,,,,,,,,,,[2998449],0
2998449,1,3108216,Jeongeuplla avenae,"",bacteria,false,,,,0.07493176032017233,1,,,95.0,100.0,10^-48.8363,,,,,,,,,,,,,,,,,,0
3087188,2,3087188,Binuclearia,"",eukaryota,false,,,,0.07493176032017233,1,,,99.01,101.0,10^-55.0077,,,,,,,,,,,,,,,,,[3087189],0
3087189,1,3087188,Binuclearia lauterbornii,"",eukaryota,false,,,,0.07493176032017233,1,,,99.01,101.0,10^-55.0077,,,,,,,,,,,,,,,,,,0
