tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,known_pathogen
3108216,2,3108216,Jeongeuplla,"",bacteria,false,,,,0.051823884599966404,1,,,99.0,100.0,10^-54.3258,,,,,,,,,,,,,,,,,[2998449],0
2998449,1,3108216,Jeongeuplla avenae,"",bacteria,false,,,,0.051823884599966404,1,,,99.0,100.0,10^-54.3258,,,,,,,,,,,,,,,,,,0
3078583,2,3078583,Ecytonucleospora,"",eukaryota,false,,,,0.10364776919993281,2,,,93.75,64.0,10^-25.6999,,,,,,,,,,,,,,,,,[646526],0
646526,1,3078583,Ecytonucleospora hepatopenaei,"",eukaryota,false,,,,0.10364776919993281,2,,,93.75,64.0,10^-25.6999,,,,,,,,,,,,,,,,,,0
3075063,2,3075063,Pseudoshiraia,"",eukaryota,false,,,,0.051823884599966404,1,,,99.01,101.0,10^-55.0077,,,,,,,,,,,,,,,,,[2856095],0
2856095,1,3075063,Pseudoshiraia conidialis,"",eukaryota,false,,,,0.051823884599966404,1,,,99.01,101.0,10^-55.0077,,,,,,,,,,,,,,,,,,0
3068352,2,3068352,Rubroshorea,"",eukaryota,false,,,,,,,,,,,,,,,,0.36276719219976483,7,,,82.4286,29.5714,10^-7.49439,,,,,[152421],0
152421,1,3068352,Rubroshorea leprosula,"",eukaryota,false,,,,,,,,,,,,,,,,0.36276719219976483,7,,,82.4286,29.5714,10^-7.49439,,,,,,0
3050722,2,3050722,Algicella,"",bacteria,false,,,,0.10364776919993281,2,,,98.718,78.0,10^-39.3377,,,,,,,,,,,,,,,,,[2683284],0
2683284,1,3050722,Algicella marina,"",bacteria,false,,,,0.10364776919993281,2,,,98.718,78.0,10^-39.3377,,,,,,,,,,,,,,,,,,0
3044782,2,3044782,Orthoflavivirus,"",viruses,false,,,,0.15547165379989922,3,,,95.4873,71.6667,10^-30.9295,,,,,,,,,,,,,,,,,[3052464],1
3052464,1,3044782,Orthoflavivirus denguei,"",viruses,false,,,,0.15547165379989922,3,,,95.4873,71.6667,10^-30.9295,,,,,,,,,,,,,,,,,,1
3042496,2,3042496,Candidatus Bostrichicola,"",bacteria,false,,,,0.10364776919993281,2,,,93.4095,98.5,10^-45.7552,,,,,,,,,,,,,,,,,[3042497],0
3042497,1,3042496,Candidatus Bostrichicola ureolyticus,"",bacteria,false,,,,0.10364776919993281,2,,,93.4095,98.5,10^-45.7552,,,,,,,,,,,,,,,,,,0
