Sample,Mapping_Tool,Assembler,Read_Type,File,Num_Contigs,Total_Length,Max_Length,Min_Length,Avg_Length,N50,GC_Percent
PM2577,Bowtie,rnaSPAdes,unpaired_R1,hard_filtered_transcripts,479,167717,350.1,152,5461,313,48.35
PM2601,Bowtie,rnaSPAdes,unpaired_R1,transcripts,150,46036,306.9,140,2508,300,47.14
PM2601,Bowtie,rnaSPAdes,unpaired_R1,soft_filtered_transcripts,225,56571,251.4,108,2508,226,48.00
PM2601,Bowtie,rnaSPAdes,unpaired_R1,hard_filtered_transcripts,71,32259,454.4,154,2508,596,50.30
PM2616,Bowtie,rnaSPAdes,unpaired_R1,transcripts,3257,1109338,340.6,132,10499,302,48.47
PM2616,Bowtie,rnaSPAdes,unpaired_R1,soft_filtered_transcripts,5009,1354923,270.5,107,10499,229,48.81
PM2616,Bowtie,rnaSPAdes,unpaired_R1,hard_filtered_transcripts,1356,777912,573.7,152,10499,1837,47.45
PM2622,Bowtie,rnaSPAdes,unpaired_R1,transcripts,249,66095,265.4,133,2415,242,47.28
PM2622,Bowtie,rnaSPAdes,unpaired_R1,soft_filtered_transcripts,396,86972,219.6,107,2415,203,47.58
PM2622,Bowtie,rnaSPAdes,unpaired_R1,hard_filtered_transcripts,128,45177,352.9,158,2415,321,48.22
PM3050,Bowtie,rnaSPAdes,unpaired_R1,transcripts,96,23195,241.6,115,2176,201,47.05
PM3050,Bowtie,rnaSPAdes,unpaired_R1,soft_filtered_transcripts,213,37117,174.3,86,2176,148,46.51
PM3050,Bowtie,rnaSPAdes,unpaired_R1,hard_filtered_transcripts,29,13316,459.2,183,2176,822,51.53
PM3051,Bowtie,rnaSPAdes,unpaired_R1,transcripts,20,9698,484.9,115,2134,1571,54.99
PM3051,Bowtie,rnaSPAdes,unpaired_R1,soft_filtered_transcripts,42,11916,283.7,86,2134,1246,56.97
PM3051,Bowtie,rnaSPAdes,unpaired_R1,hard_filtered_transcripts,12,8539,711.6,131,2134,1571,59.40
PM3183,Bowtie,rnaSPAdes,unpaired_R1,transcripts,9,7943,882.6,115,2174,1578,60.87
